34, "TRUE", "FALSE", "stage_multi_path", "description_singlemode_clear_result", "", "None", 19, 5, 231, 40, 33, 42, 701, "", "", "497|497|843|843|1536|1536|2229|2229|2229|3615|3615|3615|3615|3615|3615|3615|3615|3615|3615|7080|4308|4308|4308|4308|4308|4308|4308|4308|4308|14010|4861|4861|4861|4861|4861|4861|4861|4861|4861|14311", "", 50, "7010201 | 7010202 | 7010203 | 7010204 | 7010205 | 7010206 | 7010207 | 7010208 | 7010209 | 7010210 | 7010211 | 7010212 | 7010213 | 7010214 | 7010215 | 7010216 | 7010217 | 7010218 | 7010219 | 7010220 | 7010221 | 7010222 | 7010223 | 7010224 | 7010225 | 7010226 | 7010227 | 7010228 | 7010229 | 7010230 | 7010231 | 7010232 | 7010233 | 7010234 | 7010235 | 7010236 | 7010237 | 7010238 | 7010239 | 7010240"
35, "TRUE", "FALSE", "stage_multi_path", "description_singlemode_clear_result", "", "None", 20, "", 233, 42, 34, 43, 701, "", "", "513|513|876|876|1602|1602|2328|2328|2328|3780|3780|3780|3780|3780|3780|3780|3780|3780|3780|7410|4506|4506|4506|4506|4506|4506|4506|4506|4506|14670|5086|5086|5086|5086|5086|5086|5086|5086|5086|14986", "", 50, "7010241 | 7010242 | 7010243 | 7010244 | 7010245 | 7010246 | 7010247 | 7010248 | 7010249 | 7010250 | 7010251 | 7010252 | 7010253 | 7010254 | 7010255 | 7010256 | 7010257 | 7010258 | 7010259 | 7010260 | 7010261 | 7010262 | 7010263 | 7010264 | 7010265 | 7010266 | 7010267 | 7010268 | 7010269 | 7010270 | 7010271 | 7010272 | 7010273 | 7010274 | 7010275 | 7010276 | 7010277 | 7010278 | 7010279 | 7010280"
36, "TRUE", "FALSE", "stage_multi_path", "description_singlemode_clear_result", "", "None", 21, "", 236, 44, 35, 44, 701, "", "", "530|530|909|909|1668|1668|2427|2427|2427|3945|3945|3945|3945|3945|3945|3945|3945|3945|3945|7740|4704|4704|4704|4704|4704|4704|4704|4704|4704|15330|5311|5311|5311|5311|5311|5311|5311|5311|5311|15661", "", 50, "7010281 | 7010282 | 7010283 | 7010284 | 7010285 | 7010286 | 7010287 | 7010288 | 7010289 | 7010290 | 7010291 | 7010292 | 7010293 | 7010294 | 7010295 | 7010296 | 7010297 | 7010298 | 7010299 | 7010300 | 7010301 | 7010302 | 7010303 | 7010304 | 7010305 | 7010306 | 7010307 | 7010308 | 7010309 | 7010310 | 7010311 | 7010312 | 7010313 | 7010314 | 7010315 | 7010316 | 7010317 | 7010318 | 7010319 | 7010320"
37, "TRUE", "FALSE", "stage_multi_path", "description_singlemode_clear_result", "", "None", 22, 6, 238, 45, 36, 45, 701, "", "", "546|546|942|942|1734|1734|2526|2526|2526|4110|4110|4110|4110|4110|4110|4110|4110|4110|4110|8070|4902|4902|4902|4902|4902|4902|4902|4902|4902|15990|5536|5536|5536|5536|5536|5536|5536|5536|5536|16336", "", 50, "7010201 | 7010202 | 7010203 | 7010204 | 7010205 | 7010206 | 7010207 | 7010208 | 7010209 | 7010210 | 7010211 | 7010212 | 7010213 | 7010214 | 7010215 | 7010216 | 7010217 | 7010218 | 7010219 | 7010220 | 7010221 | 7010222 | 7010223 | 7010224 | 7010225 | 7010226 | 7010227 | 7010228 | 7010229 | 7010230 | 7010231 | 7010232 | 7010233 | 7010234 | 7010235 | 7010236 | 7010237 | 7010238 | 7010239 | 7010240"
38, "TRUE", "FALSE", "stage_multi_path", "description_singlemode_clear_result", "", "WaveClear_Hell_40", 23, "", 240, 47, 37, 46, 701, "", "", "563|563|975|975|1800|1800|2625|2625|2625|4275|4275|4275|4275|4275|4275|4275|4275|4275|4275|8400|5100|5100|5100|5100|5100|5100|5100|5100|5100|16650|5761|5761|5761|5761|5761|5761|5761|5761|5761|17011", "", 50, "7010201 | 7010202 | 7010203 | 7010204 | 7010205 | 7010206 | 7010207 | 7010208 | 7010209 | 7010210 | 7010211 | 7010212 | 7010213 | 7010214 | 7010215 | 7010216 | 7010217 | 7010218 | 7010219 | 7010220 | 7010221 | 7010222 | 7010223 | 7010224 | 7010225 | 7010226 | 7010227 | 7010228 | 7010229 | 7010230 | 7010231 | 7010232 | 7010233 | 7010234 | 7010235 | 7010236 | 7010237 | 7010238 | 7010239 | 7010240"
39, "TRUE", "FALSE", "stage_multi_path", "description_singlemode_clear_result", "", "None", 24, "", 243, 49, 38, 47, 701, "", "", "579|579|1008|1008|1866|1866|2724|2724|2724|4440|4440|4440|4440|4440|4440|4440|4440|4440|4440|8730|5298|5298|5298|5298|5298|5298|5298|5298|5298|17310|6585|6585|6585|6585|6585|6585|6585|6585|6585|19455", "", 50, "7010161 | 7010162 | 7010163 | 7010164 | 7010165 | 7010166 | 7010167 | 7010168 | 7010169 | 7010170 | 7010171 | 7010172 | 7010173 | 7010174 | 7010175 | 7010176 | 7010177 | 7010178 | 7010179 | 7010180 | 7010181 | 7010182 | 7010183 | 7010184 | 7010185 | 7010186 | 7010187 | 7010188 | 7010189 | 7010190 | 7010191 | 7010192 | 7010193 | 7010194 | 7010195 | 7010196 | 7010197 | 7010198 | 7010199 | 7010200"
40, "TRUE", "FALSE", "stage_multi_path", "description_singlemode_clear_result", "", "None", 25, "", 246, 50, 39, 48, 701, "", "", "596|596|1041|1041|1932|1932|2823|2823|2823|4605|4605|4605|4605|4605|4605|4605|4605|4605|4605|9060|5496|5496|5496|5496|5496|5496|5496|5496|5496|17970|6833|6833|6833|6833|6833|6833|6833|6833|6833|20198", "", 50, "7010201 | 7010202 | 7010203 | 7010204 | 7010205 | 7010206 | 7010207 | 7010208 | 7010209 | 7010210 | 7010211 | 7010212 | 7010213 | 7010214 | 7010215 | 7010216 | 7010217 | 7010218 | 7010219 | 7010220 | 7010221 | 7010222 | 7010223 | 7010224 | 7010225 | 7010226 | 7010227 | 7010228 | 7010229 | 7010230 | 7010231 | 7010232 | 7010233 | 7010234 | 7010235 | 7010236 | 7010237 | 7010238 | 7010239 | 7010240"
1001, "FALSE", "FALSE", "stage_goblin", "description_goblin_clear_result", "SingleModeProp_703", "None", 1, "", "", "", "", "", 703, "", "", "", "", "", 7030001, "101,10000,10000"
1002, "FALSE", "FALSE", "stage_mission", "quest_KillMonster", "SingleModeProp_704_1", "None", 1, "", "", "", "", 1, 704, 704001, 1001, "", "", -100, 7040001, "1000, 10021, 1, 1"
1003, "FALSE", "FALSE", "stage_boss_block", "description_bossblock_clear_condition_2", "SingleModeProp_702_1", "None", 1, "", "", "", "", 10, 702, "", "", "1000|1000|1000|1000|2000|2000|2000|2000|2000|2000|3000|3000|3000|3000|4000|4000|4000|4000|4000|4000|5000|5000|5000|5000|6000|6000|6000|6000|6000|6000|7000|7000|7000|7000|7000|8000|8000|8000|8000|8000|9000|9000|9000|9000|10000|10000|10000|10000|10000|10000|11000|11000|11000|11000|12000|12000|12000|12000|12000|12000|13000|13000|13000|13000|14000|14000|14000|14000|14000|14000|15000|15000|15000|15000|16000|16000|16000|16000|16000|16000", " ", "", "7110001 | 7110002 | 7110003 | 7110004 | 7110005 | 7110006 | 7110007 | 7110008 | 7110009 | 7110010 | 7110011 | 7110012 | 7110013 | 7110014 | 7110015 | 7110016 | 7110017 | 7110018 | 7110019 | 7110020 | 7110021 | 7110022 | 7110023 | 7110024 | 7110025 | 7110026 | 7110027 | 7110028 | 7110029 | 7110030 | 7110031 | 7110032 | 7110033 | 7110034 | 7110035 | 7110036 | 7110037 | 7110038 | 7110039 | 7110040 | 7110041 | 7110042 | 7110043 | 7110044 | 7110045 | 7110046 | 7110047 | 7110048 | 7110049 | 7110050 | 7110051 | 7110052 | 7110053 | 7110054 | 7110055 | 7110056 | 7110057 | 7110058 | 7110059 | 7110060 | 7110061 | 7110062 | 7110063 | 7110064 | 7110065 | 7110066 | 7110067 | 7110068 | 7110069 | 7110070 | 7110071 | 7110072 | 7110073 | 7110074 | 7110075 | 7110076 | 7110077 | 7110078 | 7110079 | 7110080", "103,100,100"
1004, "FALSE", "FALSE", "stage_mission", "quest_SaveGold", "SingleModeProp_704_2", "None", 2, "", "", "", "", 1, 704, 704002, 2001, "", "", 50, "7110081 | 7110082 | 7110083 | 7110084 | 7110085 | 7110086 | 7110087 | 7110088 | 7110089 | 7110090 | 7110091 | 7110092 | 7110093 | 7110094 | 7110095 | 7110096 | 7110097 | 7110098 | 7110099 | 7110100 | 7110101 | 7110102 | 7110103 | 7110104 | 7110105 | 7110106 | 7110107 | 7110108 | 7110109 | 7110110 | 7110111 | 7110112 | 7110113 | 7110114 | 7110115 | 7110116 | 7110117 | 7110118 | 7110119 | 7110120 | 7110121 | 7110122 | 7110123 | 7110124 | 7110125 | 7110126 | 7110127 | 7110128 | 7110129 | 7110130 | 7110131 | 7110132 | 7110133 | 7110134 | 7110135 | 7110136 | 7110137 | 7110138 | 7110139 | 7110140 | 7110141 | 7110142 | 7110143 | 7110144 | 7110145 | 7110146 | 7110147 | 7110148 | 7110149 | 7110150 | 7110151 | 7110152 | 7110153 | 7110154 | 7110155 | 7110156 | 7110157 | 7110158 | 7110159 | 7110160", "1000,10014,1,1"
1005, "FALSE", "FALSE", "stage_boss_block", "description_bossblock_clear_condition_2", "SingleModeProp_702_2", "None", 2, "", "", "", "", 11, 702, "", "", "1000|1000|1000|1000|2000|2000|2000|2000|2000|2000|3000|3000|3000|3000|4000|4000|4000|4000|4000|4000|5000|5000|5000|5000|6000|6000|6000|6000|6000|6000|7000|7000|7000|7000|7000|8000|8000|8000|8000|8000|9000|9000|9000|9000|10000|10000|10000|10000|10000|10000|11000|11000|11000|11000|12000|12000|12000|12000|12000|12000|13000|13000|13000|13000|14000|14000|14000|14000|14000|14000|15000|15000|15000|15000|16000|16000|16000|16000|16000|16000", " ", "", "7110001 | 7110002 | 7110003 | 7110004 | 7110005 | 7110006 | 7110007 | 7110008 | 7110009 | 7110010 | 7110011 | 7110012 | 7110013 | 7110014 | 7110015 | 7110016 | 7110017 | 7110018 | 7110019 | 7110020 | 7110021 | 7110022 | 7110023 | 7110024 | 7110025 | 7110026 | 7110027 | 7110028 | 7110029 | 7110030 | 7110031 | 7110032 | 7110033 | 7110034 | 7110035 | 7110036 | 7110037 | 7110038 | 7110039 | 7110040 | 7110041 | 7110042 | 7110043 | 7110044 | 7110045 | 7110046 | 7110047 | 7110048 | 7110049 | 7110050 | 7110051 | 7110052 | 7110053 | 7110054 | 7110055 | 7110056 | 7110057 | 7110058 | 7110059 | 7110060 | 7110061 | 7110062 | 7110063 | 7110064 | 7110065 | 7110066 | 7110067 | 7110068 | 7110069 | 7110070 | 7110071 | 7110072 | 7110073 | 7110074 | 7110075 | 7110076 | 7110077 | 7110078 | 7110079 | 7110080", "104,20,20"
1006, "FALSE", "FALSE", "stage_mission", "quest_SaveGold", "SingleModeProp_704_2", "None", 3, "", "", "", "", 1, 704, 704003, 2002, "", "", 50, "7110081 | 7110082 | 7110083 | 7110084 | 7110085 | 7110086 | 7110087 | 7110088 | 7110089 | 7110090 | 7110091 | 7110092 | 7110093 | 7110094 | 7110095 | 7110096 | 7110097 | 7110098 | 7110099 | 7110100 | 7110101 | 7110102 | 7110103 | 7110104 | 7110105 | 7110106 | 7110107 | 7110108 | 7110109 | 7110110 | 7110111 | 7110112 | 7110113 | 7110114 | 7110115 | 7110116 | 7110117 | 7110118 | 7110119 | 7110120 | 7110121 | 7110122 | 7110123 | 7110124 | 7110125 | 7110126 | 7110127 | 7110128 | 7110129 | 7110130 | 7110131 | 7110132 | 7110133 | 7110134 | 7110135 | 7110136 | 7110137 | 7110138 | 7110139 | 7110140 | 7110141 | 7110142 | 7110143 | 7110144 | 7110145 | 7110146 | 7110147 | 7110148 | 7110149 | 7110150 | 7110151 | 7110152 | 7110153 | 7110154 | 7110155 | 7110156 | 7110157 | 7110158 | 7110159 | 7110160", "1000, 10028, 1, 1"
1007, "FALSE", "FALSE", "stage_boss_block", "description_bossblock_clear_condition_2", "SingleModeProp_702_3", "None", 3, "", "", "", "", 12, 702, "", "", "1000|1000|1000|1000|2000|2000|2000|2000|2000|2000|3000|3000|3000|3000|4000|4000|4000|4000|4000|4000|5000|5000|5000|5000|6000|6000|6000|6000|6000|6000|7000|7000|7000|7000|7000|8000|8000|8000|8000|8000|9000|9000|9000|9000|10000|10000|10000|10000|10000|10000|11000|11000|11000|11000|12000|12000|12000|12000|12000|12000|13000|13000|13000|13000|14000|14000|14000|14000|14000|14000|15000|15000|15000|15000|16000|16000|16000|16000|16000|16000", " ", "", "7110001 | 7110002 | 7110003 | 7110004 | 7110005 | 7110006 | 7110007 | 7110008 | 7110009 | 7110010 | 7110011 | 7110012 | 7110013 | 7110014 | 7110015 | 7110016 | 7110017 | 7110018 | 7110019 | 7110020 | 7110021 | 7110022 | 7110023 | 7110024 | 7110025 | 7110026 | 7110027 | 7110028 | 7110029 | 7110030 | 7110031 | 7110032 | 7110033 | 7110034 | 7110035 | 7110036 | 7110037 | 7110038 | 7110039 | 7110040 | 7110041 | 7110042 | 7110043 | 7110044 | 7110045 | 7110046 | 7110047 | 7110048 | 7110049 | 7110050 | 7110051 | 7110052 | 7110053 | 7110054 | 7110055 | 7110056 | 7110057 | 7110058 | 7110059 | 7110060 | 7110061 | 7110062 | 7110063 | 7110064 | 7110065 | 7110066 | 7110067 | 7110068 | 7110069 | 7110070 | 7110071 | 7110072 | 7110073 | 7110074 | 7110075 | 7110076 | 7110077 | 7110078 | 7110079 | 7110080", "104,30,30"
1008, "FALSE", "FALSE", "stage_goblin", "description_goblin_clear_result", "SingleModeProp_703", "None", 2, "", "", "", "", "", 703, "", "", "", "", "", 7030001, "2000, 5003, 1, 1"
1009, "FALSE", "FALSE", "stage_boss_block", "description_bossblock_clear_condition_2", "SingleModeProp_702_4", "None", 4, "", "", "", "", 13, 702, "", "", "1000|1000|1000|1000|2000|2000|2000|2000|2000|2000|3000|3000|3000|3000|4000|4000|4000|4000|4000|4000|5000|5000|5000|5000|6000|6000|6000|6000|6000|6000|7000|7000|7000|7000|7000|8000|8000|8000|8000|8000|9000|9000|9000|9000|10000|10000|10000|10000|10000|10000|11000|11000|11000|11000|12000|12000|12000|12000|12000|12000|13000|13000|13000|13000|14000|14000|14000|14000|14000|14000|15000|15000|15000|15000|16000|16000|16000|16000|16000|16000", " ", "", "7110001 | 7110002 | 7110003 | 7110004 | 7110005 | 7110006 | 7110007 | 7110008 | 7110009 | 7110010 | 7110011 | 7110012 | 7110013 | 7110014 | 7110015 | 7110016 | 7110017 | 7110018 | 7110019 | 7110020 | 7110021 | 7110022 | 7110023 | 7110024 | 7110025 | 7110026 | 7110027 | 7110028 | 7110029 | 7110030 | 7110031 | 7110032 | 7110033 | 7110034 | 7110035 | 7110036 | 7110037 | 7110038 | 7110039 | 7110040 | 7110041 | 7110042 | 7110043 | 7110044 | 7110045 | 7110046 | 7110047 | 7110048 | 7110049 | 7110050 | 7110051 | 7110052 | 7110053 | 7110054 | 7110055 | 7110056 | 7110057 | 7110058 | 7110059 | 7110060 | 7110061 | 7110062 | 7110063 | 7110064 | 7110065 | 7110066 | 7110067 | 7110068 | 7110069 | 7110070 | 7110071 | 7110072 | 7110073 | 7110074 | 7110075 | 7110076 | 7110077 | 7110078 | 7110079 | 7110080", "101,10000,10000"
1010, "FALSE", "FALSE", "stage_mission", "quest_KillMonster", "SingleModeProp_704_1", "None", 4, "", "", "", "", 1, 704, 704004, 1001, 100, "", -100, 7040002, "104,50,50"
1011, "FALSE", "FALSE", "stage_boss_block", "description_bossblock_clear_condition_2", "SingleModeProp_702_5", "None", 5, "", "", "", "", 14, 702, "", "", "1000|1000|1000|1000|2000|2000|2000|2000|2000|2000|3000|3000|3000|3000|4000|4000|4000|4000|4000|4000|5000|5000|5000|5000|6000|6000|6000|6000|6000|6000|7000|7000|7000|7000|7000|8000|8000|8000|8000|8000|9000|9000|9000|9000|10000|10000|10000|10000|10000|10000|11000|11000|11000|11000|12000|12000|12000|12000|12000|12000|13000|13000|13000|13000|14000|14000|14000|14000|14000|14000|15000|15000|15000|15000|16000|16000|16000|16000|16000|16000", " ", "", "7110001 | 7110002 | 7110003 | 7110004 | 7110005 | 7110006 | 7110007 | 7110008 | 7110009 | 7110010 | 7110011 | 7110012 | 7110013 | 7110014 | 7110015 | 7110016 | 7110017 | 7110018 | 7110019 | 7110020 | 7110021 | 7110022 | 7110023 | 7110024 | 7110025 | 7110026 | 7110027 | 7110028 | 7110029 | 7110030 | 7110031 | 7110032 | 7110033 | 7110034 | 7110035 | 7110036 | 7110037 | 7110038 | 7110039 | 7110040 | 7110041 | 7110042 | 7110043 | 7110044 | 7110045 | 7110046 | 7110047 | 7110048 | 7110049 | 7110050 | 7110051 | 7110052 | 7110053 | 7110054 | 7110055 | 7110056 | 7110057 | 7110058 | 7110059 | 7110060 | 7110061 | 7110062 | 7110063 | 7110064 | 7110065 | 7110066 | 7110067 | 7110068 | 7110069 | 7110070 | 7110071 | 7110072 | 7110073 | 7110074 | 7110075 | 7110076 | 7110077 | 7110078 | 7110079 | 7110080", "201, 5, 5"
1012, "FALSE", "FALSE", "stage_boss_block", "description_bossblock_clear_condition_2", "SingleModeProp_702_6", "None", 6, "", "", "", "", 15, 702, "", "", "1000|1000|1000|1000|2000|2000|2000|2000|2000|2000|3000|3000|3000|3000|4000|4000|4000|4000|4000|4000|5000|5000|5000|5000|6000|6000|6000|6000|6000|6000|7000|7000|7000|7000|7000|8000|8000|8000|8000|8000|9000|9000|9000|9000|10000|10000|10000|10000|10000|10000|11000|11000|11000|11000|12000|12000|12000|12000|12000|12000|13000|13000|13000|13000|14000|14000|14000|14000|14000|14000|15000|15000|15000|15000|16000|16000|16000|16000|16000|16000", " ", "", "7110001 | 7110002 | 7110003 | 7110004 | 7110005 | 7110006 | 7110007 | 7110008 | 7110009 | 7110010 | 7110011 | 7110012 | 7110013 | 7110014 | 7110015 | 7110016 | 7110017 | 7110018 | 7110019 | 7110020 | 7110021 | 7110022 | 7110023 | 7110024 | 7110025 | 7110026 | 7110027 | 7110028 | 7110029 | 7110030 | 7110031 | 7110032 | 7110033 | 7110034 | 7110035 | 7110036 | 7110037 | 7110038 | 7110039 | 7110040 | 7110041 | 7110042 | 7110043 | 7110044 | 7110045 | 7110046 | 7110047 | 7110048 | 7110049 | 7110050 | 7110051 | 7110052 | 7110053 | 7110054 | 7110055 | 7110056 | 7110057 | 7110058 | 7110059 | 7110060 | 7110061 | 7110062 | 7110063 | 7110064 | 7110065 | 7110066 | 7110067 | 7110068 | 7110069 | 7110070 | 7110071 | 7110072 | 7110073 | 7110074 | 7110075 | 7110076 | 7110077 | 7110078 | 7110079 | 7110080", "101,10000,10000"
1013, "FALSE", "FALSE", "stage_mission", "quest_SaveGold", "SingleModeProp_704_2", "None", 5, "", "", "", "", 1, 704, 704005, 2003, "", "", 50, "7110081 | 7110082 | 7110083 | 7110084 | 7110085 | 7110086 | 7110087 | 7110088 | 7110089 | 7110090 | 7110091 | 7110092 | 7110093 | 7110094 | 7110095 | 7110096 | 7110097 | 7110098 | 7110099 | 7110100 | 7110101 | 7110102 | 7110103 | 7110104 | 7110105 | 7110106 | 7110107 | 7110108 | 7110109 | 7110110 | 7110111 | 7110112 | 7110113 | 7110114 | 7110115 | 7110116 | 7110117 | 7110118 | 7110119 | 7110120 | 7110121 | 7110122 | 7110123 | 7110124 | 7110125 | 7110126 | 7110127 | 7110128 | 7110129 | 7110130 | 7110131 | 7110132 | 7110133 | 7110134 | 7110135 | 7110136 | 7110137 | 7110138 | 7110139 | 7110140 | 7110141 | 7110142 | 7110143 | 7110144 | 7110145 | 7110146 | 7110147 | 7110148 | 7110149 | 7110150 | 7110151 | 7110152 | 7110153 | 7110154 | 7110155 | 7110156 | 7110157 | 7110158 | 7110159 | 7110160", "102,500,500"
1014, "FALSE", "FALSE", "stage_boss_block", "description_bossblock_clear_condition_2", "SingleModeProp_702_1", "None", 7, "", "", "", "", 16, 702, "", "", "1000|1000|1000|1000|2000|2000|2000|2000|2000|2000|3000|3000|3000|3000|4000|4000|4000|4000|4000|4000|5000|5000|5000|5000|6000|6000|6000|6000|6000|6000|7000|7000|7000|7000|7000|8000|8000|8000|8000|8000|9000|9000|9000|9000|10000|10000|10000|10000|10000|10000|11000|11000|11000|11000|12000|12000|12000|12000|12000|12000|13000|13000|13000|13000|14000|14000|14000|14000|14000|14000|15000|15000|15000|15000|16000|16000|16000|16000|16000|16000", "300|300|300", "", "7110001 | 7110002 | 7110003 | 7110004 | 7110005 | 7110006 | 7110007 | 7110008 | 7110009 | 7110010 | 7110011 | 7110012 | 7110013 | 7110014 | 7110015 | 7110016 | 7110017 | 7110018 | 7110019 | 7110020 | 7110021 | 7110022 | 7110023 | 7110024 | 7110025 | 7110026 | 7110027 | 7110028 | 7110029 | 7110030 | 7110031 | 7110032 | 7110033 | 7110034 | 7110035 | 7110036 | 7110037 | 7110038 | 7110039 | 7110040 | 7110041 | 7110042 | 7110043 | 7110044 | 7110045 | 7110046 | 7110047 | 7110048 | 7110049 | 7110050 | 7110051 | 7110052 | 7110053 | 7110054 | 7110055 | 7110056 | 7110057 | 7110058 | 7110059 | 7110060 | 7110061 | 7110062 | 7110063 | 7110064 | 7110065 | 7110066 | 7110067 | 7110068 | 7110069 | 7110070 | 7110071 | 7110072 | 7110073 | 7110074 | 7110075 | 7110076 | 7110077 | 7110078 | 7110079 | 7110080", "103,100,100"
1015, "FALSE", "FALSE", "stage_goblin", "description_goblin_clear_result", "SingleModeProp_703", "None", 3, "", "", "", "", "", 703, "", "", "", "", "", 7030001, "104,30,30"
1016, "FALSE", "FALSE", "stage_boss_block", "description_bossblock_clear_condition_2", "SingleModeProp_702_2", "None", 8, "", "", "", "", 17, 702, "", "", "1000|1000|1000|1000|2000|2000|2000|2000|2000|2000|3000|3000|3000|3000|4000|4000|4000|4000|4000|4000|5000|5000|5000|5000|6000|6000|6000|6000|6000|6000|7000|7000|7000|7000|7000|8000|8000|8000|8000|8000|9000|9000|9000|9000|10000|10000|10000|10000|10000|10000|11000|11000|11000|11000|12000|12000|12000|12000|12000|12000|13000|13000|13000|13000|14000|14000|14000|14000|14000|14000|15000|15000|15000|15000|16000|16000|16000|16000|16000|16000", "300|300|300", "", "7110001 | 7110002 | 7110003 | 7110004 | 7110005 | 7110006 | 7110007 | 7110008 | 7110009 | 7110010 | 7110011 | 7110012 | 7110013 | 7110014 | 7110015 | 7110016 | 7110017 | 7110018 | 7110019 | 7110020 | 7110021 | 7110022 | 7110023 | 7110024 | 7110025 | 7110026 | 7110027 | 7110028 | 7110029 | 7110030 | 7110031 | 7110032 | 7110033 | 7110034 | 7110035 | 7110036 | 7110037 | 7110038 | 7110039 | 7110040 | 7110041 | 7110042 | 7110043 | 7110044 | 7110045 | 7110046 | 7110047 | 7110048 | 7110049 | 7110050 | 7110051 | 7110052 | 7110053 | 7110054 | 7110055 | 7110056 | 7110057 | 7110058 | 7110059 | 7110060 | 7110061 | 7110062 | 7110063 | 7110064 | 7110065 | 7110066 | 7110067 | 7110068 | 7110069 | 7110070 | 7110071 | 7110072 | 7110073 | 7110074 | 7110075 | 7110076 | 7110077 | 7110078 | 7110079 | 7110080", "113,10,10"
1017, "FALSE", "FALSE", "stage_boss_block", "description_bossblock_clear_condition_2", "SingleModeProp_702_3", "None", 9, "", "", "", "", 18, 702, "", "", "1000|1000|1000|1000|2000|2000|2000|2000|2000|2000|3000|3000|3000|3000|4000|4000|4000|4000|4000|4000|5000|5000|5000|5000|6000|6000|6000|6000|6000|6000|7000|7000|7000|7000|7000|8000|8000|8000|8000|8000|9000|9000|9000|9000|10000|10000|10000|10000|10000|10000|11000|11000|11000|11000|12000|12000|12000|12000|12000|12000|13000|13000|13000|13000|14000|14000|14000|14000|14000|14000|15000|15000|15000|15000|16000|16000|16000|16000|16000|16000", "400|400|400", "", "7110001 | 7110002 | 7110003 | 7110004 | 7110005 | 7110006 | 7110007 | 7110008 | 7110009 | 7110010 | 7110011 | 7110012 | 7110013 | 7110014 | 7110015 | 7110016 | 7110017 | 7110018 | 7110019 | 7110020 | 7110021 | 7110022 | 7110023 | 7110024 | 7110025 | 7110026 | 7110027 | 7110028 | 7110029 | 7110030 | 7110031 | 7110032 | 7110033 | 7110034 | 7110035 | 7110036 | 7110037 | 7110038 | 7110039 | 7110040 | 7110041 | 7110042 | 7110043 | 7110044 | 7110045 | 7110046 | 7110047 | 7110048 | 7110049 | 7110050 | 7110051 | 7110052 | 7110053 | 7110054 | 7110055 | 7110056 | 7110057 | 7110058 | 7110059 | 7110060 | 7110061 | 7110062 | 7110063 | 7110064 | 7110065 | 7110066 | 7110067 | 7110068 | 7110069 | 7110070 | 7110071 | 7110072 | 7110073 | 7110074 | 7110075 | 7110076 | 7110077 | 7110078 | 7110079 | 7110080", "107,5,5"
1018, "FALSE", "FALSE", "stage_boss_block", "description_bossblock_clear_condition_2", "SingleModeProp_702_4", "None", 10, "", "", "", "", 19, 702, "", "", "1000|1000|1000|1000|2000|2000|2000|2000|2000|2000|3000|3000|3000|3000|4000|4000|4000|4000|4000|4000|5000|5000|5000|5000|6000|6000|6000|6000|6000|6000|7000|7000|7000|7000|7000|8000|8000|8000|8000|8000|9000|9000|9000|9000|10000|10000|10000|10000|10000|10000|11000|11000|11000|11000|12000|12000|12000|12000|12000|12000|13000|13000|13000|13000|14000|14000|14000|14000|14000|14000|15000|15000|15000|15000|16000|16000|16000|16000|16000|16000", "400|400|400", "", "7110001 | 7110002 | 7110003 | 7110004 | 7110005 | 7110006 | 7110007 | 7110008 | 7110009 | 7110010 | 7110011 | 7110012 | 7110013 | 7110014 | 7110015 | 7110016 | 7110017 | 7110018 | 7110019 | 7110020 | 7110021 | 7110022 | 7110023 | 7110024 | 7110025 | 7110026 | 7110027 | 7110028 | 7110029 | 7110030 | 7110031 | 7110032 | 7110033 | 7110034 | 7110035 | 7110036 | 7110037 | 7110038 | 7110039 | 7110040 | 7110041 | 7110042 | 7110043 | 7110044 | 7110045 | 7110046 | 7110047 | 7110048 | 7110049 | 7110050 | 7110051 | 7110052 | 7110053 | 7110054 | 7110055 | 7110056 | 7110057 | 7110058 | 7110059 | 7110060 | 7110061 | 7110062 | 7110063 | 7110064 | 7110065 | 7110066 | 7110067 | 7110068 | 7110069 | 7110070 | 7110071 | 7110072 | 7110073 | 7110074 | 7110075 | 7110076 | 7110077 | 7110078 | 7110079 | 7110080", "201, 5, 5"
