string, ERegion
"火炎のスイッチ", "JP"
"稲妻ダイス", "JP"
"稲妻太陽", "JP"
"稲妻サン", "JP"
"稲妻天使", "JP"
"稲妻ヒーロー", "JP"
"稲妻ミニミ", "JP"
"稲妻キャリー", "JP"
"稲妻守護神", "JP"
"稲妻神", "JP"
"稲妻実力者", "JP"
"稲妻惑星", "JP"
"稲妻月", "JP"
"稲妻ムーン", "JP"
"稲妻巨人", "JP"
"稲妻サポーター", "JP"
"稲妻初心者", "JP"
"稲妻嵐", "JP"
"稲妻雷雲", "JP"
"自称勝者", "TW"
"自称社長", "JP"
"自称英雄", "TW"
"自称ゴールド", "JP"
"自称ダイヤ", "JP"
"自称守護者", "TW"
"自称ジョーカー", "JP"
"自称星", "TW"
"自称スター", "JP"
"自称太陽", "TW"
"自称サン", "JP"
"自称地ならし", "JP"
"自称スイッチ", "JP"
"疾風のダイス", "JP"
"疾風のデイジー", "JP"
"疾風のダイサー", "JP"
"疾風のドラゴン", "JP"
"疾風のVIP", "JP"
"疾風のソーマ", "JP"
"疾風のモンスター", "JP"
"疾風の魔法瓶", "JP"
"疾風のマスター", "JP"
"疾風の実力者", "JP"
"疾風の惑星", "JP"
"疾風の月", "JP"
"疾風のムーン", "JP"
"疾風の巨人", "JP"
"疾風のサポーター", "JP"
"疾風の初心者", "JP"
"疾風の嵐", "JP"
"疾風の雷雲", "JP"
"疾風の地ならし", "JP"
"疾風のスイッチ", "JP"
"天才ダイス", "JP"
"天才デイジー", "JP"
"天才サン", "JP"
"天才天使", "TW"
"天才ヒーロー", "JP"
"天才ミニミ", "JP"
"天才キャリー", "JP"
"天才守護神", "JP"
"天才神", "JP"
"天才実力者", "JP"
"天才惑星", "JP"
"天才月", "TW"
"天才ムーン", "JP"
"天才巨人", "JP"
"天才サポーター", "JP"
"天才初心者", "JP"
"天才嵐", "JP"
"天才雷雲", "JP"
"天才地ならし", "JP"
"鬼滅の英雄", "JP"
"鬼滅のゴールド", "JP"
"鬼滅のダイヤ", "JP"
"鬼滅の守護者", "JP"
"鬼滅のジョーカー", "JP"
"鬼滅の星", "JP"
"鬼滅のスター", "JP"
"鬼滅の太陽", "JP"
"鬼滅のサン", "JP"
"鬼滅の天使", "JP"
"鬼滅のヒーロー", "JP"
"鬼滅のミニミ", "JP"
"鬼滅のキャリー", "JP"
"鬼滅の守護神", "JP"
"鬼滅の神", "JP"
"鬼滅の実力者", "JP"
"鬼滅の惑星", "JP"
"鬼滅の月", "JP"
"鬼滅のムーン", "JP"
"スーパーダイサー", "JP"
"スーパードラゴン", "JP"
"スーパーVIP", "JP"
"スーパーソーマ", "JP"
"スーパーモンスター", "JP"
"スーパー魔法瓶", "JP"
"スーパーマスター", "JP"
"スーパーソラ", "JP"
"スーパーナイス", "JP"
"スーパーウィナー", "JP"
"スーパー勝者", "JP"
"スーパー社長", "JP"
"スーパー英雄", "JP"
"スーパーゴールド", "JP"
"スーパーダイヤ", "JP"
"スーパー守護者", "JP"
"スーパージョーカー", "JP"
"スーパー星", "JP"
"スーパー雷雲", "JP"
"スーパー地ならし", "JP"
"スーパースイッチ", "JP"
"鉄壁のダイス", "JP"
"鉄壁のデイジー", "JP"
"鉄壁のダイサー", "JP"
"鉄壁のドラゴン", "JP"
"鉄壁のVIP", "JP"
"鉄壁のソーマ", "JP"
"鉄壁のモンスター", "JP"
"鉄壁の魔法瓶", "JP"
"鉄壁のマスター", "JP"
"鉄壁のソラ", "JP"
"鉄壁のナイス", "JP"
"鉄壁のウィナー", "JP"
"鉄壁の勝者", "JP"
"鉄壁の社長", "JP"
"鉄壁の英雄", "JP"
"鉄壁のゴールド", "JP"
"鉄壁のサポーター", "JP"
"鉄壁の初心者", "JP"
"鉄壁の嵐", "JP"
"鉄壁の雷雲", "JP"
"鉄壁の地ならし", "JP"
"鉄壁のスイッチ", "JP"
"高速ダイス", "JP"
"高速デイジー", "JP"
"高速ダイサー", "JP"
"高速ドラゴン", "JP"
"高速VIP", "TW"
"高速ソーマ", "JP"
"高速モンスター", "JP"
"高速魔法瓶", "TW"
"高速マスター", "JP"
"高速ソラ", "JP"
"高速ナイス", "JP"
"高速ウィナー", "JP"
"高速勝者", "TW"
"高速社長", "JP"
"高速ヒーロー", "JP"
"高速ミニミ", "JP"
"高速キャリー", "JP"
"高速守護神", "JP"
"高速神", "JP"
"高速実力者", "JP"
"高速惑星", "JP"
"高速月", "TW"
"高速ムーン", "JP"
"高速巨人", "JP"
"高速サポーター", "JP"
"バトル英雄", "JP"
"バトルゴールド", "JP"
"バトルダイヤ", "JP"
"バトル守護者", "JP"
"バトルジョーカー", "JP"
"バトル星", "JP"
"バトルスター", "JP"
"バトル太陽", "JP"
"バトルサン", "JP"
"バトル天使", "JP"
"バトルヒーロー", "JP"
"バトルミニミ", "JP"
"バトルキャリー", "JP"
"バトル守護神", "JP"
"バトル神", "JP"
"バトル実力者", "JP"
"バトル惑星", "JP"
"バトル月", "JP"
"バトルムーン", "JP"
"バトル巨人", "JP"
"バトルサポーター", "JP"
"バトル初心者", "JP"
"バトル嵐", "JP"
"魔改造ダイヤ", "JP"
"魔改造守護者", "TW"
"魔改造ジョーカー", "JP"
"魔改造星", "TW"
"魔改造スター", "JP"
"魔改造太陽", "TW"
"魔改造サン", "JP"
"魔改造天使", "TW"
"魔改造ヒーロー", "JP"
"魔改造ミニミ", "JP"
"魔改造キャリー", "JP"
"魔改造守護神", "TW"
"魔改造神", "TW"
"魔改造実力者", "JP"
"魔改造惑星", "JP"
"魔改造月", "TW"
"地獄のウィナー", "JP"
"地獄の勝者", "JP"
"地獄の社長", "JP"
"地獄の英雄", "JP"
"地獄のゴールド", "JP"
"地獄のダイヤ", "JP"
"地獄の守護者", "JP"
"地獄のジョーカー", "JP"
"地獄の星", "JP"
"地獄のスター", "JP"
"地獄の太陽", "JP"
"地獄のサン", "JP"
"地獄の天使", "JP"
"正直者ウィナー", "JP"
"正直者勝者", "JP"
"正直者社長", "JP"
"正直者英雄", "TW"
"正直者ゴールド", "JP"
"正直者ダイヤ", "JP"
"正直者守護者", "JP"
"正直者ジョーカー", "JP"
"正直者星", "JP"
"正直者スター", "JP"
"正直者太陽", "JP"
"正直者サン", "JP"
"正直者天使", "JP"
"優秀なソラ", "JP"
"優秀なナイス", "JP"
"優秀なウィナー", "JP"
"優秀な勝者", "JP"
"優秀な社長", "JP"
"優秀な英雄", "JP"
"優秀なゴールド", "JP"
"優秀なダイヤ", "JP"
"優秀な守護者", "JP"
"優秀なジョーカー", "JP"
"優秀な星", "JP"
"優秀なスター", "JP"
"優秀な太陽", "JP"
"優秀なサン", "JP"
"優秀な天使", "JP"
"優秀なヒーロー", "JP"
"世界一ウィナー", "JP"
"世界一勝者", "TW"
"世界一社長", "JP"
"世界一英雄", "TW"
"世界一ゴールド", "JP"
"世界一ダイヤ", "JP"
"世界一守護者", "TW"
"世界一ジョーカー", "JP"
"世界一星", "TW"
"世界一スター", "JP"
"世界一太陽", "JP"
"世界一サン", "JP"
"世界一天使", "TW"
"ランダム魔法瓶", "JP"
"ランダムマスター", "JP"
"ランダムソラ", "JP"
"ランダムナイス", "JP"
"ランダムウィナー", "JP"
"ランダム勝者", "JP"
"ランダム社長", "JP"
"ランダム英雄", "JP"
"ランダムゴールド", "JP"
"ランダムダイヤ", "JP"
"ランダム守護者", "JP"
"栄光ナイス", "JP"
"栄光ウィナー", "JP"
"栄光勝者", "JP"
"栄光社長", "JP"
"栄光英雄", "JP"
"栄光ゴールド", "JP"
"栄光ダイヤ", "JP"
"栄光守護者", "JP"
"栄光ジョーカー", "JP"
"栄光星", "JP"
"栄光スター", "JP"
"栄光太陽", "JP"
"栄光サン", "JP"
"栄光天使", "JP"
"栄光ヒーロー", "JP"
"栄光ミニミ", "JP"
"栄光キャリー", "JP"
"栄光守護神", "JP"
"栄光神", "JP"
"美しい太陽", "JP"
"美しいサン", "JP"
"美しい天使", "JP"
"美しいヒーロー", "JP"
"美しいミニミ", "JP"
"美しいキャリー", "JP"
"美しい守護神", "JP"
"美しい神", "JP"
"美しい実力者", "JP"
"美しい惑星", "JP"
"美しい月", "JP"
"美しいムーン", "JP"
"美しい巨人", "JP"
"美しいサポーター", "JP"
"美しい初心者", "JP"
"力強い英雄", "JP"
"力強いゴールド", "JP"
"力強いダイヤ", "JP"
"力強い守護者", "JP"
"力強いジョーカー", "JP"
"力強い星", "JP"
"力強いスター", "JP"
"力強い太陽", "JP"
"力強いサン", "JP"
"力強い天使", "JP"
"力強いヒーロー", "JP"
"力強いミニミ", "JP"
"力強い巨人", "JP"
"力強いサポーター", "JP"
"力強い初心者", "JP"
"力強い嵐", "JP"
"力強い雷雲", "JP"
"力強い地ならし", "JP"
"力強いスイッチ", "JP"
"小さなダイス", "JP"
"小さなデイジー", "JP"
"小さな星", "JP"
"小さなスター", "JP"
"小さな太陽", "JP"
"小さなサン", "JP"
"小さな天使", "JP"
"小さなヒーロー", "JP"
"小さなミニミ", "JP"
"小さなキャリー", "JP"
"小さな守護神", "JP"
"名無しのゴールド", "JP"
"名無しのダイヤ", "JP"
"名無しの守護者", "JP"
"名無しのジョーカー", "JP"
"名無しの星", "JP"
"名無しのスター", "JP"
"名無しの太陽", "JP"
"名無しのサン", "JP"
"名無しの天使", "JP"
"名無しのヒーロー", "JP"
"名無しのミニミ", "JP"
"名無しのキャリー", "JP"
"名無しの守護神", "JP"
"名無しの神", "JP"
"名無しの実力者", "JP"
"名無しの惑星", "JP"
"名無しの月", "JP"
"名無しのムーン", "JP"
"特別な神", "JP"
"特別な実力者", "JP"
"特別な惑星", "JP"
"特別な月", "JP"
"特別なムーン", "JP"
"特別な巨人", "JP"
"特別なサポーター", "JP"
"特別な初心者", "JP"
"特別な嵐", "JP"
"特別な雷雲", "JP"
"特別な地ならし", "JP"
"特別なスイッチ", "JP"
"可愛いダイス", "JP"
"可愛いデイジー", "JP"
"可愛いダイサー", "JP"
"可愛いドラゴン", "JP"
"可愛いVIP", "JP"
"可愛いソーマ", "JP"
"可愛いモンスター", "JP"
"可愛い魔法瓶", "JP"
"可愛いマスター", "JP"
"ピリッとデイジー", "JP"
"ピリッとダイサー", "JP"
"ピリッとドラゴン", "JP"
"ピリッとVIP", "JP"
"ピリッとソーマ", "JP"
"ピリッとモンスター", "JP"
"ピリッと魔法瓶", "JP"
"不屈のナイス", "JP"
"不屈のウィナー", "JP"
"不屈の勝者", "JP"
"不屈の社長", "JP"
"不屈の英雄", "JP"
"不屈のゴールド", "JP"
"不屈のダイヤ", "JP"
"不屈の守護者", "JP"
"不屈のジョーカー", "JP"
"不屈の星", "JP"
"不屈のスター", "JP"
"不屈の太陽", "JP"
"不屈のサン", "JP"
"不屈の天使", "JP"
"不屈のヒーロー", "JP"
"不屈のミニミ", "JP"
"不屈のキャリー", "JP"
"不屈の守護神", "JP"
"不屈の神", "JP"
"燃えるスター", "JP"
"燃える太陽", "JP"
"燃えるサン", "JP"
"燃える天使", "JP"
"甘いドラゴン", "JP"
"甘いVIP", "JP"
"甘いソーマ", "JP"
"甘いモンスター", "JP"
"甘い魔法瓶", "JP"
"甘いマスター", "JP"
"甘いソラ", "JP"
"甘いナイス", "JP"
"甘いウィナー", "JP"
"甘い勝者", "JP"
"甘い社長", "JP"
"甘い英雄", "JP"
"甘いゴールド", "JP"
"甘いダイヤ", "JP"
"甘い守護者", "JP"
"甘いジョーカー", "JP"
"甘い星", "JP"
"甘いスター", "JP"
"甘い太陽", "JP"
"甘いサン", "JP"
"甘い天使", "JP"
"甘いヒーロー", "JP"
"甘いミニミ", "JP"
"甘いキャリー", "JP"
"甘い守護神", "JP"
"甘い神", "JP"
"甘い実力者", "JP"
"鋭いダイサー", "JP"
"鋭いドラゴン", "JP"
"鋭いVIP", "JP"
"鋭いソーマ", "JP"
"鋭いモンスター", "JP"
"鋭い魔法瓶", "JP"
"鋭いマスター", "JP"
"鋭いソラ", "JP"
"鋭いナイス", "JP"
"鋭いウィナー", "JP"
"鋭い勝者", "JP"
"鋭い社長", "JP"
"鋭い英雄", "JP"
"鋭いゴールド", "JP"
"鋭いダイヤ", "JP"
"瞬足VIP", "TW"
"瞬足ソーマ", "JP"
"瞬足モンスター", "JP"
"瞬足サポーター", "JP"
"瞬足初心者", "JP"
"瞬足嵐", "JP"
"瞬足雷雲", "JP"
"瞬足地ならし", "JP"
"瞬足スイッチ", "JP"
"唯一無二ダイス", "JP"
"唯一無二デイジー", "JP"
"唯一無二ダイサー", "JP"
"唯一無二ドラゴン", "JP"
"唯一無二VIP", "JP"
"唯一無二ソーマ", "JP"
"唯一無二ムーン", "JP"
"唯一無二巨人", "JP"
"唯一無二サポーター", "JP"
"唯一無二初心者", "JP"
"唯一無二嵐", "JP"
"唯一無二雷雲", "JP"
"燃燒的小丑", "TW"
"燃燒的天使", "TW"
"燃燒的月光", "TW"
"燃燒的雨滴", "TW"
"燃燒的狂粉", "TW"
"燃燒的守護者", "TW"
"燃燒的八卦神", "TW"
"燃燒的書籍", "TW"
"燃燒的蟲蟲", "TW"
"燃燒的小蛙", "TW"
"燃燒的麗麗", "TW"
"朝思暮想的汪汪", "TW"
"朝思暮想的貓奴", "TW"
"朝思暮想的太陽", "TW"
"朝思暮想的小丑", "TW"
"朝思暮想的天使", "TW"
"朝思暮想的月光", "TW"
"朝思暮想的雨滴", "TW"
"朝思暮想的狂粉", "TW"
"朝思暮想的守護者", "TW"
"朝思暮想的八卦神", "TW"
"朝思暮想的書籍", "TW"
"朝思暮想的蟲蟲", "TW"
"甜甜國王", "TW"
"甜甜汪汪", "TW"
"甜甜貓奴", "TW"
"甜甜太陽", "TW"
"甜甜小丑", "TW"
"甜甜天使", "TW"
"甜甜月光", "TW"
"甜甜雨滴", "TW"
"甜甜狂粉", "TW"
"甜甜守護者", "TW"
"甜甜八卦神", "TW"
"甜甜書籍", "TW"
"甜甜蟲蟲", "TW"
"甜甜小蛙", "TW"
"炙熱大樹", "TW"
"炙熱牛奶", "TW"
"炙熱鹽巴", "TW"
"炙熱綠豆", "TW"
"炙熱攻擊", "TW"
"炙熱坦克", "TW"
"炙熱麻雀", "TW"
"炙熱國王", "TW"
"炙熱汪汪", "TW"
"炙熱貓奴", "TW"
"炙熱太陽", "TW"
"炙熱小丑", "TW"
"炙熱天使", "TW"
"炙熱月光", "TW"
"炙熱雨滴", "TW"
"炙熱狂粉", "TW"
"炙熱守護者", "TW"
"炙熱八卦神", "TW"
"炙熱書籍", "TW"
"炙熱蟲蟲", "TW"
"炙熱小蛙", "TW"
"炙熱麗麗", "TW"
"炙熱黑臉", "TW"
"炙熱小點子", "TW"
"冰凍綠豆", "TW"
"冰凍攻擊", "TW"
"冰凍坦克", "TW"
"冰凍麻雀", "TW"
"冰凍國王", "TW"
"冰凍汪汪", "TW"
"冰凍貓奴", "TW"
"冰凍太陽", "TW"
"冰凍小丑", "TW"
"冰凍天使", "TW"
"冰凍月光", "TW"
"冰凍雨滴", "TW"
"冰凍小蛙", "TW"
"冰凍麗麗", "TW"
"冰凍黑臉", "TW"
"熱血骰粉", "TW"
"熱血葡萄乾", "TW"
"熱血六面體", "TW"
"熱血兄弟", "TW"
"熱血教師", "TW"
"熱血小學生", "TW"
"熱血金錢", "TW"
"熱血VIP", "TW"
"熱血口香糖", "TW"
"熱血漢娜", "TW"
"熱血大樹", "TW"
"熱血牛奶", "TW"
"熱血黑臉", "TW"
"熱血小點子", "TW"
"悲傷麻雀", "TW"
"悲傷國王", "TW"
"悲傷汪汪", "TW"
"悲傷貓奴", "TW"
"悲傷太陽", "TW"
"悲傷小丑", "TW"
"悲傷天使", "TW"
"悲傷月光", "TW"
"悲傷雨滴", "TW"
"悲傷狂粉", "TW"
"悲傷守護者", "TW"
"幸運鹽巴", "TW"
"幸運綠豆", "TW"
"幸運攻擊", "TW"
"幸運坦克", "TW"
"幸運麻雀", "JP"
"幸運國王", "TW"
"幸運汪汪", "TW"
"幸運貓奴", "TW"
"幸運太陽", "TW"
"幸運小丑", "TW"
"幸運天使", "TW"
"幸運月光", "JP"
"幸運雨滴", "TW"
"幸運狂粉", "TW"
"幸運守護者", "TW"
"幸運八卦神", "TW"
"隨機綠豆", "TW"
"隨機攻擊", "TW"
"隨機坦克", "TW"
"隨機麻雀", "TW"
"隨機國王", "TW"
"隨機汪汪", "TW"
"隨機貓奴", "TW"
"隨機太陽", "TW"
"成長牛奶", "TW"
"成長鹽巴", "TW"
"成長綠豆", "TW"
"成長攻擊", "TW"
"勝者兄弟", "TW"
"勝者教師", "TW"
"勝者小學生", "TW"
"勝者金錢", "TW"
"勝者VIP", "TW"
"勝者口香糖", "TW"
"勝者漢娜", "TW"
"勝者大樹", "TW"
"勝者牛奶", "TW"
"勝者鹽巴", "TW"
"勝者綠豆", "TW"
"勝者攻擊", "TW"
"稀有兄弟", "TW"
"稀有教師", "TW"
"稀有小學生", "TW"
"稀有金錢", "TW"
"稀有VIP", "TW"
"稀有口香糖", "TW"
"稀有漢娜", "TW"
"稀有大樹", "TW"
"稀有牛奶", "TW"
"稀有鹽巴", "TW"
"稀有綠豆", "TW"
"稀有攻擊", "TW"
"無趣兄弟", "TW"
"無趣教師", "TW"
"無趣小學生", "TW"
"無趣金錢", "TW"
"無趣VIP", "TW"
"無趣口香糖", "TW"
"無趣漢娜", "TW"
"無趣萊姆", "TW"
"無趣神話", "TW"
"無趣男子漢", "TW"
"無趣淑女", "TW"
"簡單骰子", "TW"
"簡單骰粉", "TW"
"簡單葡萄乾", "TW"
"簡單六面體", "TW"
"簡單兄弟", "TW"
"簡單教師", "TW"
"簡單小學生", "TW"
"簡單金錢", "TW"
"簡單VIP", "TW"
"簡單口香糖", "TW"
"簡單漢娜", "TW"
"簡單大樹", "TW"
"簡單牛奶", "TW"
"簡單鹽巴", "TW"
"簡單綠豆", "TW"
"簡單攻擊", "TW"
"簡單萊姆", "TW"
"簡單神話", "TW"
"簡單男子漢", "TW"
"簡單淑女", "TW"
"邪惡骰子", "TW"
"邪惡骰粉", "TW"
"邪惡葡萄乾", "TW"
"邪惡六面體", "TW"
"邪惡兄弟", "TW"
"邪惡教師", "TW"
"邪惡小學生", "TW"
"邪惡金錢", "TW"
"邪惡VIP", "TW"
"邪惡口香糖", "TW"
"邪惡漢娜", "TW"
"邪惡大樹", "TW"
"邪惡狂粉", "TW"
"邪惡守護者", "TW"
"邪惡八卦神", "TW"
"邪惡書籍", "TW"
"邪惡蟲蟲", "TW"
"邪惡小蛙", "TW"
"邪惡麗麗", "TW"
"邪惡黑臉", "TW"
"邪惡小點子", "TW"
"邪惡螞蟻", "TW"
"邪惡萊姆", "TW"
"邪惡神話", "TW"
"邪惡男子漢", "TW"
"邪惡淑女", "TW"
"壞壞骰子", "TW"
"壞壞骰粉", "TW"
"壞壞葡萄乾", "TW"
"壞壞六面體", "TW"
"壞壞兄弟", "TW"
"壞壞教師", "TW"
"壞壞八卦神", "TW"
"壞壞書籍", "TW"
"刻薄攻擊", "TW"
"刻薄坦克", "TW"
"刻薄麻雀", "TW"
"刻薄國王", "TW"
"刻薄汪汪", "TW"
"刻薄貓奴", "TW"
"刻薄太陽", "TW"
"刻薄小丑", "TW"
"刻薄天使", "TW"
"刻薄月光", "TW"
"刻薄雨滴", "TW"
"刻薄狂粉", "TW"
"刻薄守護者", "TW"
"刻薄八卦神", "TW"
"刻薄書籍", "TW"
"刻薄蟲蟲", "TW"
"刻薄小蛙", "TW"
"刻薄麗麗", "TW"
"歡樂小丑", "TW"
"歡樂天使", "TW"
"歡樂月光", "TW"
"歡樂雨滴", "TW"
"歡樂狂粉", "TW"
"歡樂守護者", "TW"
"歡樂八卦神", "TW"
"歡樂書籍", "TW"
"善良牛奶", "TW"
"善良鹽巴", "TW"
"善良綠豆", "TW"
"善良攻擊", "TW"
"善良坦克", "TW"
"善良麻雀", "TW"
"善良國王", "TW"
"善良汪汪", "TW"
"善良貓奴", "TW"
"善良太陽", "TW"
"善良小丑", "TW"
"善良天使", "TW"
"善良月光", "TW"
"善良雨滴", "TW"
"善良狂粉", "TW"
"善良守護者", "TW"
"善良八卦神", "TW"
"懶惰口香糖", "TW"
"懶惰漢娜", "TW"
"懶惰大樹", "TW"
"懶惰小蛙", "TW"
"懶惰麗麗", "TW"
"懶惰黑臉", "TW"
"懶惰小點子", "TW"
"懶惰螞蟻", "TW"
"懶惰萊姆", "TW"
"懶惰神話", "TW"
"懶惰男子漢", "TW"
"懶惰淑女", "TW"
"爆改骰子", "TW"
"爆改骰粉", "TW"
"爆改葡萄乾", "TW"
"爆改六面體", "TW"
"爆改兄弟", "TW"
"爆改小點子", "TW"
"爆改螞蟻", "TW"
"爆改萊姆", "TW"
"爆改神話", "JP"
"爆改男子漢", "TW"
"爆改淑女", "TW"
"工具人骰子", "TW"
"工具人骰粉", "TW"
"工具人狂粉", "TW"
"工具人守護者", "TW"
"工具人八卦神", "TW"
"工具人書籍", "TW"
"工具人蟲蟲", "TW"
"工具人小蛙", "TW"
"奇怪的坦克", "TW"
"奇怪的麻雀", "TW"
"奇怪的國王", "TW"
"奇怪的汪汪", "TW"
"奇怪的貓奴", "TW"
"奇怪的太陽", "TW"
"奇怪的小丑", "TW"
"奇怪的天使", "TW"
"奇怪的月光", "TW"
"奇怪的雨滴", "TW"
"神聖牛奶", "TW"
"神聖鹽巴", "TW"
"神聖綠豆", "TW"
"神聖攻擊", "TW"
"神聖坦克", "TW"
"黑漆漆兄弟", "TW"
"黑漆漆教師", "TW"
"黑漆漆小學生", "TW"
"黑漆漆金錢", "TW"
"黑漆漆VIP", "TW"
"黑漆漆口香糖", "TW"
"黑漆漆漢娜", "TW"
"黑漆漆大樹", "TW"
"黑漆漆牛奶", "TW"
"黑漆漆鹽巴", "TW"
"黑漆漆綠豆", "TW"
"黑漆漆攻擊", "TW"
"黑漆漆坦克", "TW"
"黑漆漆麻雀", "TW"
"黑漆漆國王", "TW"
"黑漆漆汪汪", "TW"
"黑漆漆貓奴", "TW"
"美妙的金錢", "TW"
"美妙的VIP", "TW"
"美妙的口香糖", "TW"
"美妙的漢娜", "TW"
"美妙的大樹", "TW"
"美妙的牛奶", "TW"
"美妙的鹽巴", "TW"
"美妙的綠豆", "TW"
"美妙的攻擊", "TW"
"榮耀兄弟", "TW"
"榮耀教師", "TW"
"榮耀小學生", "TW"
"榮耀金錢", "TW"
"榮耀VIP", "TW"
"榮耀口香糖", "TW"
"榮耀漢娜", "TW"
"榮耀大樹", "TW"
"榮耀牛奶", "TW"
"榮耀男子漢", "TW"
"榮耀淑女", "TW"
"光速骰子", "TW"
"光速骰粉", "JP"
"光速葡萄乾", "TW"
"光速六面體", "TW"
"光速兄弟", "JP"
"光速教師", "TW"
"光速小學生", "TW"
"光速月光", "JP"
"光速雨滴", "TW"
"光速狂粉", "TW"
"光速守護者", "JP"
"光速八卦神", "JP"
"光速書籍", "JP"
"光速蟲蟲", "TW"
"光速小蛙", "JP"
"光速麗麗", "TW"
"光速黑臉", "TW"
"光速小點子", "TW"
"光速螞蟻", "TW"
"傳說汪汪", "TW"
"傳說貓奴", "TW"
"傳說太陽", "TW"
"傳說小丑", "TW"
"閃電鹽巴", "TW"
"閃電綠豆", "TW"
"閃電攻擊", "TW"
"閃電坦克", "TW"
"閃電麻雀", "TW"
"閃電國王", "TW"
"閃電汪汪", "TW"
"閃電貓奴", "TW"
"閃電太陽", "TW"
"閃電小丑", "TW"
"閃電天使", "TW"
"閃電月光", "TW"
"閃電雨滴", "TW"
"閃電狂粉", "TW"
"可愛牛奶", "TW"
"可愛鹽巴", "TW"
"可愛綠豆", "TW"
"可愛攻擊", "TW"
"可愛坦克", "TW"
"可愛麻雀", "JP"
"可愛國王", "TW"
"可愛汪汪", "TW"
"可愛貓奴", "TW"
"可愛太陽", "TW"
"可愛小丑", "TW"
"可愛天使", "JP"
"有趣的漢娜", "TW"
"有趣的大樹", "TW"
"有趣的牛奶", "TW"
"有趣的鹽巴", "TW"
"有趣的綠豆", "TW"
"有趣的攻擊", "TW"
"有趣的坦克", "TW"
"有趣的麻雀", "TW"
"有趣的國王", "TW"
"有趣的汪汪", "TW"
"透心涼葡萄乾", "TW"
"透心涼六面體", "TW"
"透心涼兄弟", "TW"
"透心涼教師", "TW"
"透心涼小學生", "TW"
"透心涼神話", "TW"
"透心涼男子漢", "TW"
"透心涼淑女", "TW"
"固執骰子", "TW"
"固執骰粉", "TW"
"固執葡萄乾", "TW"
"固執六面體", "TW"
"固執兄弟", "TW"
"固執教師", "TW"
"固執小學生", "TW"
"固執金錢", "TW"
"固執VIP", "TW"
"固執口香糖", "TW"
"固執漢娜", "TW"
"固執神話", "JP"
"固執男子漢", "TW"
"固執淑女", "JP"
"親親骰子", "TW"
"親親骰粉", "TW"
"親親守護者", "TW"
"親親八卦神", "TW"
"親親書籍", "TW"
"親親蟲蟲", "TW"
"親親小蛙", "TW"
"親親麗麗", "TW"
"親親黑臉", "TW"
"親親小點子", "TW"
"親親螞蟻", "TW"
"臉紅紅雨滴", "TW"
"臉紅紅狂粉", "TW"
"臉紅紅守護者", "TW"
"臉紅紅八卦神", "TW"
"臉紅紅書籍", "TW"
"臉紅紅蟲蟲", "TW"
"臉紅紅小蛙", "TW"
"臉紅紅麗麗", "TW"
"臉紅紅黑臉", "TW"
"臉紅紅小點子", "TW"
"臉紅紅螞蟻", "TW"
"臉紅紅萊姆", "TW"
"臉紅紅神話", "TW"
"臉紅紅男子漢", "TW"
"臉紅紅淑女", "TW"
"神速骰子", "TW"
"神速骰粉", "TW"
"神速狂粉", "TW"
"神速守護者", "TW"
"神速八卦神", "TW"
"神速書籍", "JP"
"神速蟲蟲", "TW"
"神速小蛙", "TW"
"神速麗麗", "TW"
"神速黑臉", "TW"
"神速小點子", "TW"
"神速螞蟻", "TW"
"神速萊姆", "TW"
"神速神話", "TW"
"神速男子漢", "TW"
"神速淑女", "TW"
"舊時代骰子", "TW"
"舊時代天使", "TW"
"舊時代月光", "TW"
"舊時代雨滴", "TW"
"舊時代狂粉", "TW"
"舊時代守護者", "TW"
"舊時代八卦神", "TW"
"舊時代書籍", "TW"
"舊時代蟲蟲", "TW"
"舊時代小蛙", "TW"
"舊時代麗麗", "TW"
"舊時代黑臉", "TW"
"舊時代小點子", "TW"
"舊時代螞蟻", "TW"
"舊時代萊姆", "TW"
"舊時代神話", "TW"
"乾淨俐落的天使", "TW"
"乾淨俐落的月光", "TW"
"乾淨俐落的雨滴", "TW"
"乾淨俐落的狂粉", "TW"
"乾淨俐落的守護者", "TW"
"乾淨俐落的八卦神", "TW"
"乾淨俐落的書籍", "TW"
"乾淨俐落的蟲蟲", "TW"
"乾淨俐落的小蛙", "TW"
"乾淨俐落的麗麗", "TW"
"乾淨俐落的黑臉", "TW"
"乾淨俐落的小點子", "TW"
"乾淨俐落的螞蟻", "TW"
"乾淨俐落的萊姆", "TW"
"乾淨俐落的神話", "TW"
"獨一無二天使", "TW"
"獨一無二月光", "TW"
"獨一無二雨滴", "TW"
"獨一無二狂粉", "TW"
"獨一無二守護者", "TW"
"獨一無二八卦神", "TW"
"獨一無二書籍", "TW"
"獨一無二淑女", "TW"
"니노막시무스오디", "KR"
"리바인", "KR"
"요를레이", "KR"
"훌랄라랜드", "KR"
"머리핀과제이크", "KR"
1007, "KR"
20210709, "KR"
20200106, "KR"
"랜덤다마스", "KR"
"흑화한대니", "KR"
"미뇽", "KR"
"먼나라이웃나라", "KR"
"시나브로", "KR"
"Sinabro", "US"
"포프리", "KR"
"제프", "KR"
"랜드", "KR"
"발효홍삼", "KR"
"네즈코", "KR"
"미용티슈", "KR"
"그림을그리는고래", "KR"
"하얀설레임", "KR"
"마인츠", "KR"
"青空", "JP"
"天空の星", "JP"
"月の光", "JP"
"紅蓮", "TW"
