int, int, int, float, bool, int[], int[], int, EGradeType, EBuffCardType, EBuffCardActivateType, string, string, int, int, FP[], string
100042, 51, 2, 10, "FALSE", "", "", "", "Epic", "GivePoint", "Instantly", "title_buffcard_51", "desc_buffcard_51", "", 1, 10, "InGame/icon_buffcard_luckystone_supply"
100043, 71, 2, 10, "FALSE", "", "", "", "Common", "Special", "Instantly", "title_buffcard_71", "desc_buffcard_71", "", "", 1, "InGame/icon_buffcard_gold_box"
100044, 72, 2, 10, "FALSE", "", "", "", "Legend", "Special", "Instantly", "title_buffcard_72", "desc_buffcard_72", "", "", 2, "InGame/icon_buffcard_mystery_box"
100045, 75, 2, 10, "FALSE", "", "", "", "Epic", "Special", "WaveStart", "title_buffcard_75", "desc_buffcard_75", "", "", "5000 | 5 | 30", "InGame/icon_buffcard_loan"
100046, 76, 2, 10, "FALSE", "", "", "", "Epic", "Special", "Always", "title_buffcard_76", "desc_buffcard_76", "", "", 10, "InGame/icon_buffcard_blob_cell"
100047, 77, 2, 10, "FALSE", "", "", "", "Legend", "Special", "Instantly", "title_buffcard_77", "desc_buffcard_77", "", "", "", "InGame/icon_buffcard_polaroid"
101001, 1001, 2, 10, "FALSE", "", "", "", "Legend", "Special", "Always", "title_buffcard_unit_1001", "desc_buffcard_unit_1001", 3007, "", "", "InGame/icon_buffcard_cloning_skill"
101002, 1002, 2, 10, "FALSE", "", "", "", "Epic", "UnitSkill", "Instantly", "title_buffcard_unit_1002", "desc_buffcard_unit_1002", 3007, "", 50, "InGame/icon_buffcard_ninja_squad"
101003, 1003, 2, 10, "FALSE", "", "", "", "Common", "UnitSkill", "Instantly", "title_buffcard_unit_1003", "desc_buffcard_unit_1003", 5005, "", "", "InGame/icon_buffcard_community"
101004, 1004, 2, 10, "FALSE", "", "", "", "Epic", "Special", "Instantly", "title_buffcard_unit_1004", "desc_buffcard_unit_1004", 5005, "", "", "InGame/icon_buffcard_replication"
101005, 1005, 2, 10, "FALSE", "", "", "", "Epic", "Special", "Instantly", "title_buffcard_unit_1005", "desc_buffcard_unit_1005", 5005, "", "", "InGame/icon_buffcard_amalgamation"
101006, 1006, 2, 10, "FALSE", "", "", "", "Legend", "Special", "Instantly", "title_buffcard_unit_1006", "desc_buffcard_unit_1006", 5108, "", "5 | 20", "InGame/icon_buffcard_incantation"
101007, 1007, 99, 10, "FALSE", "", "", "", "Common", "Special", "Instantly", "title_buffcard_unit_1007", "desc_buffcard_unit_1007", 5108, "", "", "InGame/icon_buffcard_imp_land"
101008, 1008, 2, 10, "FALSE", "", "", "", "Epic", "UnitSkill", "Always", "title_buffcard_unit_1008", "desc_buffcard_unit_1008", 5011, "", "", "InGame/icon_buffcard_auto hunting"
101009, 1009, 2, 10, "FALSE", "", "", "", "Legend", "UnitSkill", "Always", "title_buffcard_unit_1009", "desc_buffcard_unit_1009", 5011, "", "30 | 1", "InGame/icon_buffcard_explosive_arrow"
101010, 1010, 2, 10, "FALSE", "", "", "", "Epic", "Special", "Instantly", "title_buffcard_unit_1010", "desc_buffcard_unit_1010", 5013, "", 30, "InGame/icon_buffcard_charge"
101011, 1011, 2, 5, "FALSE", "", "", "", "Legend", "Special", "Always", "title_buffcard_unit_1011", "desc_buffcard_unit_1011", 5013, "", 200, "InGame/icon_buffcard_infinite_power"
101012, 1012, 2, 10, "FALSE", "", "", "", "Epic", "Special", "Always", "title_buffcard_unit_1012", "desc_buffcard_unit_1012", "", "", "20 | 1 | 1.1", "InGame/icon_buffcard_infertile_egg"
101013, 1013, 2, 10, "FALSE", "", "", "", "Common", "Special", "WaveStart", "title_buffcard_unit_1013", "desc_buffcard_unit_1013", "", "", 1, "InGame/icon_buffcard_nest_of_dragons"
101014, 1014, 2, 10, "FALSE", "", "", "", "Common", "UnitSkill", "Always", "title_buffcard_unit_1014", "desc_buffcard_unit_1014", 5007, "", "50 | 3", "InGame/icon_buffcard_gambler"
101016, 1016, 2, 10, "FALSE", "", "", "", "Legend", "UnitSkill", "Always", "title_buffcard_unit_1016", "desc_buffcard_unit_1016", 5017, "", 30, "InGame/icon_buffcard_acceleration"
101017, 1017, 2, 10, "FALSE", "", "", "", "Epic", "Special", "Instantly", "title_buffcard_unit_1017", "desc_buffcard_unit_1017", 5018, "", "-10 | 30", "InGame/icon_buffcard_good_anger_controller"
101018, 1018, 2, 10, "FALSE", "", "", "", "Common", "Special", "Always", "title_buffcard_unit_1018", "desc_buffcard_unit_1018", "", "", "", "InGame/icon_buffcard_go_big_or_go_home"
101019, 1019, 2, 10, "FALSE", "", "", "", "Epic", "Special", "Always", "title_buffcard_unit_1019", "desc_buffcard_unit_1019", "", "", 30, "InGame/icon_buffcard_picky_eating"
101020, 1020, 2, 10, "FALSE", "", "", "", "Legend", "Special", "Always", "title_buffcard_unit_1020", "desc_buffcard_unit_1020", "", "", 3, "InGame/icon_buffcard_predation"
101021, 1021, 2, 10, "FALSE", "", "", "", "Common", "UnitSkill", "Always", "title_buffcard_unit_1021", "desc_buffcard_unit_1021", 5016, "", "", "InGame/icon_buffcard_inducing_wind"
101022, 1022, 2, 10, "FALSE", "", "", "", "Epic", "UnitSkill", "Always", "title_buffcard_unit_1022", "desc_buffcard_unit_1022", 5016, "", 2, "InGame/icon_buffcard_storm_spirit"
101023, 1023, 2, 10, "FALSE", "", "", "", "Epic", "UnitSkill", "Always", "title_buffcard_unit_1023", "desc_buffcard_unit_1023", 5019, "", 50, "InGame/icon_buffcard_im_treeee"
101024, 1024, 2, 10, "FALSE", "", "", "", "Legend", "UnitSkill", "Always", "title_buffcard_unit_1024", "desc_buffcard_unit_1024", 5019, "", 3, "InGame/icon_buffcard_treeee_squad"
101025, 1025, 2, 10, "FALSE", "", "", "", "Common", "UnitSkill", "Always", "title_buffcard_unit_1025", "desc_buffcard_unit_1025", 5015, "", 500, "InGame/icon_buffcard_big_bang"
101026, 1026, 2, 10, "FALSE", "", "", "", "Epic", "UnitSkill", "Always", "title_buffcard_unit_1026", "desc_buffcard_unit_1026", 5015, "", 3, "InGame/icon_buffcard_collecting_debris"
101027, 1027, 2, 10, "FALSE", "", "", "", "Common", "UnitSkill", "Always", "title_buffcard_unit_1027", "desc_buffcard_unit_1027", 4006, "", "", "InGame/icon_buffcard_all_in"
101028, 1028, 2, 10, "FALSE", "", "", "", "Legend", "UnitSkill", "Always", "title_buffcard_unit_1028", "desc_buffcard_unit_1028", 5004, "", "", "InGame/icon_buffcard_triple_beam"
101029, 1029, 2, 10, "FALSE", "", "", "", "Common", "UnitSkill", "Always", "title_buffcard_unit_1029", "desc_buffcard_unit_1029", 5004, "", 50, "InGame/icon_buffcard_reflected_beam"
101030, 1030, 2, 10, "FALSE", "", "", "", "Epic", "UnitSkill", "Always", "title_buffcard_unit_1030", "desc_buffcard_unit_1030", 5010, "", 10, "InGame/icon_buffcard_clean_up_man"
101031, 1031, 2, 10, "FALSE", "", "", "", "Legend", "UnitSkill", "Always", "title_buffcard_unit_1031", "desc_buffcard_unit_1031", 5010, "", "15 | 200 | 3", "InGame/icon_buffcard_home_run"
101032, 1032, 2, 10, "FALSE", "", "", "", "Common", "UnitSkill", "Always", "title_buffcard_unit_1032", "desc_buffcard_unit_1032", 5012, "", 308, "InGame/icon_buffcard_historic_site"
101033, 1033, 2, 10, "FALSE", "", "", "", "Legend", "UnitSkill", "Instantly", "title_buffcard_unit_1033", "desc_buffcard_unit_1033", 5012, "", "", "InGame/icon_buffcard_immortal indie"
101034, 1034, 2, 10, "FALSE", "", "", "", "Epic", "UnitSkill", "WaveStart", "title_buffcard_unit_1034", "desc_buffcard_unit_1034", 5012, "", 250, "InGame/icon_buffcard_transaction"
101035, 1035, 2, 10, "FALSE", "", "", "", "Legend", "UnitSkill", "Always", "title_buffcard_unit_1035", "desc_buffcard_unit_1035", 5009, "", "1 | 10", "InGame/icon_buffcard_super_hero_landing"
101036, 1036, 2, 10, "FALSE", "", "", "", "Common", "Special", "Instantly", "title_buffcard_unit_1036", "desc_buffcard_unit_1036", "", "", "", "InGame/icon_buffcard_frog_garden"
101037, 1037, 2, 10, "FALSE", "", "", "", "Epic", "UnitSkill", "Always", "title_buffcard_unit_1037", "desc_buffcard_unit_1037", 5009, "", "3 | 100", "InGame/icon_buffcard_giant_snake"
101038, 1038, 99, 10, "FALSE", "", "", "", "Legend", "UnitSkill", "Instantly", "title_buffcard_unit_1038", "desc_buffcard_unit_1038", 5009, "", "", "InGame/icon_buffcard_deification"
101039, 1039, 2, 10, "FALSE", "", "", "", "Epic", "UnitSkill", "Always", "title_buffcard_unit_1039", "desc_buffcard_unit_1039", 5003, "", 2, "InGame/icon_buffcard_good_blacksmith"
101040, 1040, 2, 10, "FALSE", "", "", "", "Epic", "UnitSkill", "Always", "title_buffcard_unit_1040", "desc_buffcard_unit_1040", 5003, "", "30 | 1", "InGame/icon_buffcard_unquenchable_fire"
101041, 1046, 2, 10, "FALSE", "", "", "", "Epic", "UnitSkill", "Always", "title_buffcard_unit_1046", "desc_buffcard_unit_1046", 5001, "", "", "InGame/icon_buffcard_endless_fear"
101042, 1047, 2, 10, "FALSE", "", "", "", "Epic", "UnitSkill", "Always", "title_buffcard_unit_1047", "desc_buffcard_unit_1047", 5022, "", 25, "InGame/icon_buffcard_time_magic"
101043, 1048, 2, 10, "FALSE", "", "", "", "Epic", "UnitSkill", "Always", "title_buffcard_unit_1048", "desc_buffcard_unit_1048", 5023, "", 99, "InGame/icon_buffcard_extended_magazine"
10001, 10001, 2, 10, "FALSE", "", "", "", "Epic", "Special", "Instantly", "title_buffcard_10001", "desc_buffcard_10001", "", "", "3 | 3", "InGame/icon_buffcard_vow_of_sacrifice"
10002, 10002, 2, 10, "FALSE", "", "", "", "Common", "Special", "Always", "title_buffcard_10002", "desc_buffcard_10002", "", "", "", "InGame/icon_buffcard_super_armor"
10003, 10003, 2, 10, "FALSE", "", "", "", "Legend", "Special", "Always", "title_buffcard_10003", "desc_buffcard_10003", "", "", "", "InGame/icon_buffcard_exclusive_contract"
10004, 10004, 2, 10, "FALSE", "", "", "", "Epic", "Special", "Instantly", "title_buffcard_10004", "desc_buffcard_10004", "", "", "", "InGame/icon_buffcard_redistribution"
10005, 10005, 2, 10, "FALSE", "", "", "", "Epic", "Special", "Instantly", "title_buffcard_10005", "desc_buffcard_10005", "", "", "2 | 2", "InGame/icon_buffcard_magic_of_weasel"
10006, 10006, 2, 10, "FALSE", "", "", "", "Common", "Special", "Instantly", "title_buffcard_10006", "desc_buffcard_10006", "", "", 1, "InGame/icon_buffcard_defeasance"
10007, 10007, 2, 10, "FALSE", "", "", "", "Epic", "UnitSkill", "Always", "title_buffcard_10007", "desc_buffcard_10007", 5020, "", "", "InGame/icon_buffcard_inter_floor_noise"
10008, 10008, 2, 10, "FALSE", "", "", "", "Epic", "Special", "Always", "title_buffcard_10008", "desc_buffcard_10008", "", "", 50, "InGame/icon_buffcard_enhance_monster"
10009, 10009, 2, 10, "FALSE", "", "", "", "Epic", "Special", "Instantly", "title_buffcard_10009", "desc_buffcard_10009", "", "", "", "InGame/icon_buffcard_discount_chance"
306001, 99999, 306, 10, "FALSE", "", "", "", "Legend", "IndividualStat", "Always", "title_buffcard_68", "desc_buffcard_68", "", 27, 25, "InGame/icon_buffcard_damage_up"
306002, 99999, 306, 10, "FALSE", "", "", "", "Epic", "IndividualStat", "Always", "title_buffcard_68", "desc_buffcard_68", "", 27, 10, "InGame/icon_buffcard_damage_up"
306003, 99999, 306, 10, "FALSE", "", "", "", "Common", "IndividualStat", "Always", "title_buffcard_68", "desc_buffcard_68", "", 27, 5, "InGame/icon_buffcard_damage_up"
306004, 99999, 306, 10, "FALSE", "", "", "", "Legend", "Special", "Always", "title_buffcard_8", "desc_buffcard_8", "", 28, 25, "InGame/icon_buffcard_old_fairy_bow"
306005, 99999, 306, 10, "FALSE", "", "", "", "Epic", "Special", "Always", "title_buffcard_8", "desc_buffcard_8", "", 28, 10, "InGame/icon_buffcard_old_fairy_bow"
306006, 99999, 306, 10, "FALSE", "", "", "", "Common", "Special", "Always", "title_buffcard_8", "desc_buffcard_8", "", 28, 5, "InGame/icon_buffcard_old_fairy_bow"
306007, 9, 306, 10, "FALSE", "", "", "", "Epic", "Special", "Always", "title_buffcard_9", "desc_buffcard_9", "", 1, "20 | 100011", "InGame/icon_buffcard_old_big_sword"
306008, 9, 306, 10, "FALSE", "", "", "", "Common", "Special", "Always", "title_buffcard_9", "desc_buffcard_9", "", 1, "5 | 100011", "InGame/icon_buffcard_old_big_sword"
306009, 10, 306, 10, "FALSE", "", "", "", "Epic", "Special", "Always", "title_buffcard_10", "desc_buffcard_10", "", 3, "20 | 100011", "InGame/icon_buffcard_old_staff"
306010, 10, 306, 10, "FALSE", "", "", "", "Common", "Special", "Always", "title_buffcard_10", "desc_buffcard_10", "", 3, "5 | 100011", "InGame/icon_buffcard_old_staff"
306011, 99999, 306, 10, "FALSE", "", "", "", "Common", "IndividualStat", "Always", "title_buffcard_64", "desc_buffcard_64", "", 29, 20, "InGame/icon_buffcard_magic_potion"
306012, 99999, 306, 10, "FALSE", "", "", "", "Common", "IndividualStat", "Always", "title_buffcard_65", "desc_buffcard_65", "", 30, 20, "InGame/icon_buffcard_time_accelerator"
306013, 99999, 306, 10, "FALSE", "", "", "", "Epic", "IndividualStat", "Always", "title_buffcard_66", "desc_buffcard_66", "", 6, 20, "InGame/icon_buffcard_vital_hit"
306014, 99999, 306, 10, "FALSE", "", "", "", "Common", "IndividualStat", "Always", "title_buffcard_66", "desc_buffcard_66", "", 6, 5, "InGame/icon_buffcard_vital_hit"
306015, 99999, 306, 10, "FALSE", "", "", "", "Epic", "IndividualStat", "Always", "title_buffcard_67", "desc_buffcard_67", "", 7, 100, "InGame/icon_buffcard_power_hit"
306016, 99999, 306, 10, "FALSE", "", "", "", "Common", "IndividualStat", "Always", "title_buffcard_67", "desc_buffcard_67", "", 7, 30, "InGame/icon_buffcard_power_hit"
306017, 50, 306, 10, "FALSE", "", "", "", "Legend", "GivePoint", "Instantly", "title_buffcard_50", "desc_buffcard_50", "", 0, 5000, "InGame/icon_buffcard_coin_supply"
306018, 50, 306, 10, "FALSE", "", "", "", "Epic", "GivePoint", "Instantly", "title_buffcard_50", "desc_buffcard_50", "", 0, 3000, "InGame/icon_buffcard_coin_supply"
306019, 50, 306, 10, "FALSE", "", "", "", "Common", "GivePoint", "Instantly", "title_buffcard_50", "desc_buffcard_50", "", 0, 1000, "InGame/icon_buffcard_coin_supply"
306020, 51, 306, 10, "FALSE", "", "", "", "Legend", "GivePoint", "Instantly", "title_buffcard_51", "desc_buffcard_51", "", 1, 20, "InGame/icon_buffcard_luckystone_supply"
306021, 51, 306, 10, "FALSE", "", "", "", "Epic", "GivePoint", "Instantly", "title_buffcard_51", "desc_buffcard_51", "", 1, 10, "InGame/icon_buffcard_luckystone_supply"
306022, 51, 306, 10, "FALSE", "", "", "", "Common", "GivePoint", "Instantly", "title_buffcard_51", "desc_buffcard_51", "", 1, 5, "InGame/icon_buffcard_luckystone_supply"
306023, 99999, 306, 10, "FALSE", "", "", "", "Legend", "IndividualStat", "Always", "title_buffcard_15", "desc_buffcard_15", "", 19, "0.5", "InGame/icon_buffcard_scope"
306024, 26, 306, 10, "FALSE", "", "", "", "Epic", "Special", "Instantly", "title_buffcard_26", "desc_buffcard_26", "", "", 15, "InGame/icon_buffcard_shiny_scroll"
306025, 26, 306, 10, "FALSE", "", "", "", "Common", "Special", "Instantly", "title_buffcard_26", "desc_buffcard_26", "", "", 5, "InGame/icon_buffcard_shiny_scroll"
306026, 28, 306, 10, "FALSE", "", "", "", "Epic", "Special", "Instantly", "title_buffcard_28", "desc_buffcard_28", "", "", 30, "InGame/icon_buffcard_golden_ring"
306027, 28, 306, 10, "FALSE", "", "", "", "Common", "Special", "Instantly", "title_buffcard_28", "desc_buffcard_28", "", "", 10, "InGame/icon_buffcard_golden_ring"
306028, 52, 306, 10, "FALSE", "", "", "", "Common", "Special", "Instantly", "title_buffcard_52", "desc_buffcard_52", "", "", "", "InGame/icon_buffcard_hero_promotion"
306029, 40, 306, 10, "FALSE", "", "", "", "Legend", "Special", "Always", "title_buffcard_40", "desc_buffcard_40", "", "", 1, "InGame/icon_buffcard_golden_relic"
306030, 306001, 306, 10, "FALSE", "", "", "", "Common", "Special", "Always", "title_buffcard_306001", "desc_buffcard_306001", "", "", 10, "InGame/icon_buffcard_exorcism"
306031, 306002, 306, 10, "FALSE", "", "", "", "Epic", "Special", "Always", "title_buffcard_306002", "desc_buffcard_306002", "", "", 20, "InGame/icon_buffcard_silver_spike"
306032, 306002, 306, 10, "FALSE", "", "", "", "Common", "Special", "Always", "title_buffcard_306002", "desc_buffcard_306002", "", "", 5, "InGame/icon_buffcard_silver_spike"
306033, 53, 306, 10, "FALSE", "", "", "", "Common", "Special", "WaveStart", "title_buffcard_53", "desc_buffcard_53", "", "", 5, "InGame/icon_buffcard_confusion"
306034, 54, 306, 10, "FALSE", "", "", "", "Epic", "Special", "Always", "title_buffcard_54", "desc_buffcard_54", "", "", "90 | 100", "InGame/icon_buffcard_risk_chance"
306035, 55, 306, 10, "FALSE", "", "", "", "Common", "Special", "Always", "title_buffcard_55", "desc_buffcard_55", "", "", 99999, "InGame/icon_buffcard_rocket_chu_gadget"
306036, 56, 306, 10, "FALSE", "", "", "", "Epic", "Special", "Instantly", "title_buffcard_56", "desc_buffcard_56", "", "", 5, "InGame/icon_buffcard_myth_egg"
306037, 57, 306, 10, "FALSE", "", "", "", "Legend", "Special", "Instantly", "title_buffcard_57", "desc_buffcard_57", "", "", 25, "InGame/icon_buffcard_hyper_egg"
306038, 58, 306, 10, "FALSE", "", "", "", "Legend", "Special", "Always", "title_buffcard_58", "desc_buffcard_58", "", "", "20 | 2", "InGame/icon_buffcard_lucky_card"
306039, 59, 306, 10, "FALSE", "", "", "", "Common", "Special", "Always", "title_buffcard_59", "desc_buffcard_59", "", "", 10, "InGame/icon_buffcard_luxury_clock"
306040, 7, 306, 10, "FALSE", "", "", "", "Common", "Special", "Always", "title_buffcard_7", "desc_buffcard_7", "", "", 6, "InGame/icon_buffcard_mythical_market"
306041, 18, 306, 10, "FALSE", "", "", "", "Epic", "Special", "Instantly", "title_buffcard_18", "desc_buffcard_18", "", "", "", "InGame/icon_buffcard_copy_pet"
306042, 32, 306, 10, "FALSE", "", "", "", "Legend", "Special", "Instantly", "title_buffcard_32", "desc_buffcard_32", "", "", 3, "InGame/icon_buffcard_mythical_capsule"
306043, 32, 306, 10, "FALSE", "", "", "", "Epic", "Special", "Instantly", "title_buffcard_32", "desc_buffcard_32", "", "", 1, "InGame/icon_buffcard_mythical_capsule"
306044, 21, 306, 10, "FALSE", "", "", "", "Legend", "Special", "Instantly", "title_buffcard_21", "desc_buffcard_21", "", "", "1 |  25 | 25 | 100", "InGame/icon_buffcard_super_hero"
306045, 48, 306, 10, "FALSE", "", "", "", "Epic", "Special", "Instantly", "title_buffcard_48", "desc_buffcard_48", "", "", 5, "InGame/icon_buffcard_best_forge"
306046, 48, 306, 10, "FALSE", "", "", "", "Common", "Special", "Instantly", "title_buffcard_48", "desc_buffcard_48", "", "", 2, "InGame/icon_buffcard_best_forge"
306047, 60, 306, 10, "FALSE", "", "", "", "Epic", "Special", "Instantly", "title_buffcard_60", "desc_buffcard_60", "", "", 3, "InGame/icon_buffcard_hero_bundle"
306048, 61, 306, 10, "FALSE", "", "", "", "Legend", "Special", "Instantly", "title_buffcard_61", "desc_buffcard_61", "", "", 3, "InGame/icon_buffcard_legend_bundle"
306049, 62, 306, 10, "FALSE", "", "", "", "Epic", "Special", "Always", "title_buffcard_62", "desc_buffcard_62", "", "", 5, "InGame/icon_buffcard_roulette_pity"
306050, 63, 306, 10, "FALSE", "", "", "", "Epic", "Special", "Always", "title_buffcard_63", "desc_buffcard_63", "", "", "20 | 0.5", "InGame/icon_buffcard_false_swipe"
