int, int, int, int, int, FP, FP, FP, int, EChallengeReward, FP[], string, string
301007, 301, 6, 20002, 40, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20002", "Icon/icon_challenge_golem_2"
301008, 301, 7, 20002, 60, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20002", "Icon/icon_challenge_golem_2"
301009, 301, 8, 20003, 30, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
301010, 301, 9, 20003, 40, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
301011, 301, 10, 20003, 50, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
301012, 301, 11, 20003, 70, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
301013, 301, 12, 20003, 100, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
301014, 301, 13, 20003, 150, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
301015, 301, 14, 20003, 200, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
301016, 301, 15, 20003, 250, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
301017, 301, 16, 20003, 300, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
301018, 301, 17, 20003, 350, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
301019, 301, 18, 20003, 400, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
301020, 301, 19, 20003, 450, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
301021, 301, 20, 20003, 500, 60, 70, 40, 0, "SpecialPoint", 2, "Icon/Monster/icon_uiprofile_20003", "Icon/icon_challenge_golem_3"
501001, 501, 0, 20504, 20, 60, 120, 40, 0, "CombatPoint", 20, "Icon/Monster/icon_uiprofile_20504", "Icon/icon_challenge_combat"
501002, 501, 1, 20504, 70, 60, 70, 40, 0, "CombatPoint", 20, "Icon/Monster/icon_uiprofile_20504", "Icon/icon_challenge_combat"
501003, 501, 2, 20504, 120, 60, 70, 40, 0, "CombatPoint", 20, "Icon/Monster/icon_uiprofile_20504", "Icon/icon_challenge_combat"
501004, 501, 3, 20504, 140, 60, 70, 40, 0, "CombatPoint", 20, "Icon/Monster/icon_uiprofile_20504", "Icon/icon_challenge_combat"
501005, 501, 4, 20505, 30, 60, 70, 40, 0, "CombatPoint", 20, "Icon/Monster/icon_uiprofile_20504", "Icon/icon_challenge_combat"
501006, 501, 5, 20505, 40, 60, 70, 40, 0, "CombatPoint", 20, "Icon/Monster/icon_uiprofile_20504", "Icon/icon_challenge_combat"
501007, 501, 6, 20505, 50, 60, 70, 40, 0, "CombatPoint", 20, "Icon/Monster/icon_uiprofile_20504", "Icon/icon_challenge_combat"
501008, 501, 7, 20505, 70, 60, 70, 40, 0, "CombatPoint", 20, "Icon/Monster/icon_uiprofile_20504", "Icon/icon_challenge_combat"
501009, 501, 8, 20506, 40, 60, 70, 40, 0, "CombatPoint", 20, "Icon/Monster/icon_uiprofile_20504", "Icon/icon_challenge_combat"
501010, 501, 9, 20506, 50, 60, 70, 40, 0, "CombatPoint", 20, "Icon/Monster/icon_uiprofile_20504", "Icon/icon_challenge_combat"
501011, 501, 10, 20506, 60, 60, 70, 40, 0, "CombatPoint", 20, "Icon/Monster/icon_uiprofile_20504", "Icon/icon_challenge_combat"
501012, 501, 11, 20506, 80, 60, 70, 40, 0, "CombatPoint", 20, "Icon/Monster/icon_uiprofile_20504", "Icon/icon_challenge_combat"
501013, 501, 12, 20506, 120, 60, 70, 40, 0, "CombatPoint", 20, "Icon/Monster/icon_uiprofile_20504", "Icon/icon_challenge_combat"
501014, 501, 13, 20506, 180, 60, 70, 40, 0, "CombatPoint", 20, "Icon/Monster/icon_uiprofile_20504", "Icon/icon_challenge_combat"
501015, 501, 14, 20506, 250, 60, 70, 40, 0, "CombatPoint", 20, "Icon/Monster/icon_uiprofile_20504", "Icon/icon_challenge_combat"
501016, 501, 15, 20506, 300, 60, 70, 40, 0, "CombatPoint", 20, "Icon/Monster/icon_uiprofile_20504", "Icon/icon_challenge_combat"
501017, 501, 16, 20506, 350, 60, 70, 40, 0, "CombatPoint", 20, "Icon/Monster/icon_uiprofile_20504", "Icon/icon_challenge_combat"
501018, 501, 17, 20506, 400, 60, 70, 40, 0, "CombatPoint", 20, "Icon/Monster/icon_uiprofile_20504", "Icon/icon_challenge_combat"
501019, 501, 18, 20506, 450, 60, 70, 40, 0, "CombatPoint", 20, "Icon/Monster/icon_uiprofile_20504", "Icon/icon_challenge_combat"
501020, 501, 19, 20506, 500, 60, 70, 40, 0, "CombatPoint", 20, "Icon/Monster/icon_uiprofile_20504", "Icon/icon_challenge_combat"
501021, 501, 20, 20506, 600, 60, 70, 40, 0, "CombatPoint", 20, "Icon/Monster/icon_uiprofile_20504", "Icon/icon_challenge_combat"
502001, 502, 0, 20504, 10, 60, 120, 40, 0, "CombatPoint", 30, "Icon/Monster/icon_uiprofile_20504", "Icon/icon_challenge_combat"
502002, 502, 1, 20504, 50, 60, 70, 40, 0, "CombatPoint", 30, "Icon/Monster/icon_uiprofile_20504", "Icon/icon_challenge_combat"
502003, 502, 2, 20504, 100, 60, 70, 40, 0, "CombatPoint", 30, "Icon/Monster/icon_uiprofile_20504", "Icon/icon_challenge_combat"
502004, 502, 3, 20504, 120, 60, 70, 40, 0, "CombatPoint", 30, "Icon/Monster/icon_uiprofile_20504", "Icon/icon_challenge_combat"
502005, 502, 4, 20505, 30, 60, 70, 40, 0, "CombatPoint", 30, "Icon/Monster/icon_uiprofile_20504", "Icon/icon_challenge_combat"
502006, 502, 5, 20505, 40, 60, 70, 40, 0, "CombatPoint", 30, "Icon/Monster/icon_uiprofile_20504", "Icon/icon_challenge_combat"
502007, 502, 6, 20505, 50, 60, 70, 40, 0, "CombatPoint", 30, "Icon/Monster/icon_uiprofile_20504", "Icon/icon_challenge_combat"
502008, 502, 7, 20505, 70, 60, 70, 40, 0, "CombatPoint", 30, "Icon/Monster/icon_uiprofile_20504", "Icon/icon_challenge_combat"
502009, 502, 8, 20506, 40, 60, 70, 40, 0, "CombatPoint", 30, "Icon/Monster/icon_uiprofile_20504", "Icon/icon_challenge_combat"
502010, 502, 9, 20506, 50, 60, 70, 40, 0, "CombatPoint", 30, "Icon/Monster/icon_uiprofile_20504", "Icon/icon_challenge_combat"
502011, 502, 10, 20506, 60, 60, 70, 40, 0, "CombatPoint", 30, "Icon/Monster/icon_uiprofile_20504", "Icon/icon_challenge_combat"
502012, 502, 11, 20506, 80, 60, 70, 40, 0, "CombatPoint", 30, "Icon/Monster/icon_uiprofile_20504", "Icon/icon_challenge_combat"
502013, 502, 12, 20506, 120, 60, 70, 40, 0, "CombatPoint", 30, "Icon/Monster/icon_uiprofile_20504", "Icon/icon_challenge_combat"
502014, 502, 13, 20506, 180, 60, 70, 40, 0, "CombatPoint", 30, "Icon/Monster/icon_uiprofile_20504", "Icon/icon_challenge_combat"
502015, 502, 14, 20506, 250, 60, 70, 40, 0, "CombatPoint", 30, "Icon/Monster/icon_uiprofile_20504", "Icon/icon_challenge_combat"
502016, 502, 15, 20506, 300, 60, 70, 40, 0, "CombatPoint", 30, "Icon/Monster/icon_uiprofile_20504", "Icon/icon_challenge_combat"
502017, 502, 16, 20506, 350, 60, 70, 40, 0, "CombatPoint", 30, "Icon/Monster/icon_uiprofile_20504", "Icon/icon_challenge_combat"
502018, 502, 17, 20506, 400, 60, 70, 40, 0, "CombatPoint", 30, "Icon/Monster/icon_uiprofile_20504", "Icon/icon_challenge_combat"
502019, 502, 18, 20506, 450, 60, 70, 40, 0, "CombatPoint", 30, "Icon/Monster/icon_uiprofile_20504", "Icon/icon_challenge_combat"
502020, 502, 19, 20506, 500, 60, 70, 40, 0, "CombatPoint", 30, "Icon/Monster/icon_uiprofile_20504", "Icon/icon_challenge_combat"
502021, 502, 20, 20506, 600, 60, 70, 40, 0, "CombatPoint", 30, "Icon/Monster/icon_uiprofile_20504", "Icon/icon_challenge_combat"
