int, string, string, ESkillType, bool, bool, bool, bool, EUnitAnimation, bool, string, string, FP, int, FP, EDamageType, ESkillPosition, ETargetType, ERangeType, ESkillParamType, FP, ESkillParamType, FP, ESkillParamType, FP, ESkillParamType, FP, ESkillParamType, FP, ESkillParamType, FP, ESkillParamType, FP, ESkillParamType, FP, ESkillParamType, FP, ESkillTag[], int, string, string, bool
50034, "IconSkill50034", "skill_name_50034", "Active", "TRUE", "FALSE", "TRUE", "FALSE", "Default", "TRUE", "Skill_5003_3", "skill_description_50034", "", "", "", "Magical", "Target", "Target", "Multi", "Damage", 360, "Range", "2.5", "Interval", "0.1", "Count", 10, "Duration", 1, "", "", "", "", "", "", "", "", "", "", "", "ingame_myth_lancelot_ultimate", "TRUE"
50040, "IconSkill50040", "skill_name_50040", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_5004_Ability", "skill_description_50040", "", "", "", "Magical", "", "", "", "Cost", 15, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
50041, "IconSkill50041", "skill_name_50041", "Chance", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_5004_1", "skill_description_50041", "", "", 20, "Magical", "Target", "Target", "Multi", "Damage", 2000, "Range", "0.2", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "ingame_myth_ironmeow_attack", "FALSE"
51040, "IconSkill51040", "skill_name_51040", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_GlobalRegenSp", "skill_description_51040", "", "", "", "Magical", "", "", "", "SpRegen", 30, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
51041, "IconSkill50041", "skill_name_51041", "Attack", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_5104_Attack", "skill_description_51041", "", "", "", "Magical", "Target", "Target", "Multi", "Damage", 500, "Range", "0.2", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "ingame_myth_ironmeow_skill", "FALSE"
51042, "IconSkill51042", "skill_name_51042", "Chance", "FALSE", "FALSE", "FALSE", "FALSE", "Skill_1", "TRUE", "Skill_5104_1", "skill_description_51042", "", "", 8, "Magical", "Source", "Target", "Multi", "Damage", 4000, "Range", 4, "Duration", "0.5", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "ingame_myth_ironmeow_transform_skill", "FALSE"
51043, "IconSkill51043", "skill_name_51043", "Active", "TRUE", "FALSE", "FALSE", "FALSE", "Skill_3", "TRUE", "Skill_5104_2", "skill_description_51043", "", "", "", "Magical", "Target", "Target", "Multi", "Damage", 900, "Range", "1.5", "Interval", "0.1", "Count", 20, "Duration", 2, "", "", "", "", "", "", "", "", "", "", "", "ingame_myth_ironmeow_transform_ultimate", "FALSE"
51044, "IconSkill51044", "skill_name_51044", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_5104_3", "skill_description_51044", "", "", "", "Magical", "", "", "", "Cost", 10, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
52040, "IconSkill51040", "skill_name_52040", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_GlobalRegenSp", "skill_description_52040", "", "", "", "Magical", "", "", "", "SpRegen", 30, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
52041, "IconSkill52041", "skill_name_52041", "Attack", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_5204_Attack", "skill_description_52041", "", "", "", "Magical", "Target", "Target", "Multi", "Damage", 500, "Range", "0.4", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "ingame_myth_ironmeow_skill", "FALSE"
52042, "IconSkill52042", "skill_name_52042", "Chance", "FALSE", "FALSE", "FALSE", "FALSE", "Skill_1", "TRUE", "Skill_5204_1", "skill_description_52042", "", "", 8, "Magical", "Source", "Target", "Multi", "Damage", 5000, "Range", "2.5", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
52043, "IconSkill52043", "skill_name_52043", "Active", "TRUE", "FALSE", "FALSE", "FALSE", "Skill_3", "TRUE", "Skill_5204_2", "skill_description_52043", "", "", "", "Magical", "Target", "Target", "Multi", "Damage", 900, "Range", "1.2", "Interval", "0.1", "Count", 20, "Duration", 2, "SubDamage", 900, "Range", "0.5", "", "", "", "", "", "", "", "", "FALSE"
52044, "IconSkill52044", "skill_name_52044", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "None", "TRUE", "Skill_5204_Ability2", "skill_description_52044", "", "", "", "Magical", "", "", "", "Percent", 10, "MaxCount", 10, "Percent2", 10, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
50050, "IconSkill_GlobalDefense", "skill_name_50050", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_GlobalDefense", "skill_description_50050", "", "", "", "Physical", "", "", "", "Defense", 20, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
50051, "IconSkill50051", "skill_name_50051", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_5005_Ability", "skill_description_50051", "", "", "", "Physical", "", "", "", "PlusDamage", 10, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
50052, "IconSkill50052", "skill_name_50052", "Chance", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_5005_1", "skill_description_50052", "", "", 8, "Physical", "Target", "Target", "Single", "Damage", 4000, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "ingame_myth_units_blob_skill", "TRUE"
50053, "IconSkill50053", "skill_name_50053", "Active", "TRUE", "FALSE", "TRUE", "FALSE", "Default", "TRUE", "Skill_5005_2", "skill_description_50053", "", "", "", "Physical", "Source", "Target", "Multi", "Damage", 4000, "Range", 2, "Count", 3, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "TRUE"
50060, "IconSkill_GlobalAttackDamage", "skill_name_50060", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_GlobalAttackDamage", "skill_description_50060", "", "", "", "Magical", "", "", "", "AttackDamage", 10, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
50061, "IconSkill50061", "skill_name_50061", "Passive", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_5006_Ability", "skill_description_50061", 10, "", "", "Magical", "", "", "", "Chance", 2, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
50062, "IconSkill50062", "skill_name_50062", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_5006_1", "skill_description_50062", "", "", "", "Magical", "", "", "", "Count", 3, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
51060, "IconSkill_GlobalAttackDamage", "skill_name_51060", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_GlobalAttackDamage", "skill_description_51060", "", "", "", "Magical", "", "", "", "AttackDamage", 10, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
51061, "IconSkill51061", "skill_name_51061", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_5106_Ability", "skill_description_51061", "", "", "", "Magical", "", "", "", "Percent", 30, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
51062, "IconSkill51062", "skill_name_51062", "Chance", "FALSE", "FALSE", "FALSE", "FALSE", "Skill_1", "TRUE", "Skill_5106_1", "skill_description_51062", "", "", 8, "Magical", "Target", "Target", "Multi", "Damage", 5000, "Range", "1.5", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "ingame_myth_dragon_skill_1_attack", "TRUE"
51063, "IconSkill51063", "skill_name_51063", "Chance", "FALSE", "FALSE", "FALSE", "FALSE", "Skill_2", "TRUE", "Skill_5106_2", "skill_description_51063", "", "", 10, "Magical", "Target", "Target", "Multi", "Damage", 6000, "Range", 2, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "ingame_myth_dragon_skill_2_attack", "TRUE"
51064, "IconSkill51064", "skill_name_51064", "Active", "TRUE", "FALSE", "TRUE", "FALSE", "Skill_3", "TRUE", "Skill_5106_3", "skill_description_51064", "", "", "", "Magical", "Target", "Target", "Multi", "Damage", 9000, "Interval", "0.2", "Count", 2, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "ingame_myth_drangon_ultimate", "TRUE"
52060, "IconSkill_GlobalAttackDamage", "skill_name_52060", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_GlobalAttackDamage", "skill_description_52060", "", "", "", "Magical", "", "", "", "AttackDamage", 10, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
52061, "IconSkill52061", "skill_name_52061", "Passive", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_5206_Ability", "skill_description_52061", 10, "", "", "Magical", "", "", "", "Chance", 2, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
53060, "IconSkill_GlobalAttackDamage", "skill_name_53060", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_GlobalAttackDamage", "skill_description_53060", "", "", "", "Magical", "", "", "", "AttackDamage", 10, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
53061, "IconSkill51061", "skill_name_53061", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_5306_Ability", "skill_description_53061", "", "", "", "Magical", "", "", "", "Percent", 30, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
53062, "IconSkill51062", "skill_name_53062", "Chance", "FALSE", "FALSE", "FALSE", "FALSE", "Skill_1", "TRUE", "Skill_5306_1", "skill_description_53062", "", "", 8, "Magical", "Target", "Target", "Multi", "Damage", 5000, "Range", "1.5", "SubDamage", 500, "Interval", "0.5", "Count", 5, "Range", "1.5", "Duration", "2.5", "", "", "", "", "", "", "", "ingame_myth_dragon_skill_1_attack", "TRUE"
53063, "IconSkill51063", "skill_name_53063", "Chance", "FALSE", "FALSE", "FALSE", "FALSE", "Skill_2", "TRUE", "Skill_5306_2", "skill_description_53063", "", "", 10, "Magical", "Target", "Target", "Multi", "Damage", 6000, "Range", 2, "SubDamage", 500, "Interval", "0.5", "Count", 5, "Range", "1.5", "Duration", "2.5", "", "", "", "", "", "", "", "ingame_myth_dragon_skill_2_attack", "TRUE"
53064, "IconSkill51064", "skill_name_53064", "Active", "TRUE", "FALSE", "TRUE", "FALSE", "Skill_3", "TRUE", "Skill_5306_3", "skill_description_53064", "", "", "", "Magical", "Target", "Target", "Multi", "Damage", 9000, "Interval", "0.2", "Count", 2, "SubDamage", 1500, "Interval2", "0.5", "Count", 5, "Range", "1.6", "Duration", "2.5", "", "", "", "", "", "ingame_myth_drangon_ultimate", "TRUE"
53065, "", "", "Attack", "FALSE", "TRUE", "FALSE", "FALSE", "Default", "FALSE", "Skill_5306_Attack", "", "", "", "", "Physical", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
50070, "IconSkill_GlobalDefense", "skill_name_50070", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_GlobalDefense", "skill_description_50070", "", "", "", "Magical", "", "", "", "Defense", 20, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
50071, "IconSkill50071", "skill_name_50071", "Active", "TRUE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_5007_1", "skill_description_50071", "", "", "", "Magical", "Target", "Target", "Single", "Special", 1, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "ingame_myth_money_ultimate", "TRUE"
50080, "IconSkill_GlobalDefense", "skill_name_50080", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_GlobalDefense", "skill_description_50080", "", "", "", "Magical", "", "", "", "Defense", 20, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
50081, "IconSkill50081", "skill_name_50081", "Chance", "FALSE", "FALSE", "TRUE", "FALSE", "Default", "TRUE", "Skill_5008_1", "skill_description_50081", "", "", 8, "Magical", "Target", "Target", "Single", "Damage", 1500, "Defense", 50, "Duration", 5, "", "0.5", "", "", "", "", "", "", "", "", "", "", "", "", "Fx_5008_Skill_01", "ingame_myth_mama_skill", "TRUE"
50082, "IconSkill50082", "skill_name_50082", "Active", "TRUE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_5008_2", "skill_description_50082", "", "", "", "Magical", "Target", "Target", "Single", "Damage", 2000, "", 1, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Fx_5008_Skill_02", "ingame_myth_mama_ultimate", "TRUE"
51080, "IconSkill_GlobalDefense", "skill_name_51080", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_GlobalDefense", "skill_description_51080", "", "", "", "Magical", "", "", "", "Defense", 5, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
51081, "", "", "Initialize", "FALSE", "TRUE", "TRUE", "FALSE", "Default", "TRUE", "Skill_5108_1", "", "", "", "", "Magical", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
50090, "IconSkill_GlobalAttackSpeed", "skill_name_50090", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_GlobalAttackSpeed", "skill_description_50090", "", "", "", "Physical", "", "", "", "AttackSpeed", 10, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
50091, "IconSkill50091", "skill_name_50091", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_5009_Ability", "skill_description_50091", "", "", "", "Physical", "", "", "", "Chance", 25, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
50092, "IconSkill50092", "skill_name_50092", "Chance", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_5009_1", "skill_description_50092", "", "", 8, "Physical", "Target", "Target", "Single", "Damage", 500, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "ingame_units_frog_skill_1", "TRUE"
50093, "IconSkill50093", "skill_name_50093", "Chance", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_5009_2", "skill_description_50093", "", "", 8, "Magical", "Target", "Target", "Multi", "Damage", 600, "Slow", 50, "Interval", "0.5", "Count", 5, "Range", 2, "Duration", "2.5", "", "", "", "", "", "", "", "", "", "ingame_units_frog_skill_2", "TRUE"
51090, "IconSkill_GlobalAttackSpeed", "skill_name_51090", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_GlobalAttackSpeed", "skill_description_51090", "", "", "", "Magical", "", "", "", "AttackSpeed", 10, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
51091, "IconSkill_GlobalSlow", "skill_name_51091", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_GlobalSlow", "skill_description_51091", "", "", "", "Magical", "", "", "", "Slow", 20, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
51092, "IconSkill51092", "skill_name_51092", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_5109_Ability", "skill_description_51092", "", "", "", "Magical", "", "", "", "Percent", 3, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
51093, "IconSkill51093", "skill_name_51093", "Attack", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_5109_Attack", "skill_description_51093", "", "", "", "Magical", "Target", "Target", "Multi", "Damage", 300, "", 5, "", 5, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
51094, "IconSkill51094", "skill_name_51094", "Active", "TRUE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_5109_1", "skill_description_51094", "", "", "", "Magical", "Target", "Target", "Multi", "Damage", 500, "Interval", "0.1", "Count", 200, "Range", 1, "Duration", 20, "", "", "", "", "", "", "", "", "", "", "", "ingame_units_kingdice_ultimate", "TRUE"
50101, "IconSkill50101", "skill_name_50101", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_5010_Ability", "skill_description_50101", "", "", "", "Physical", "", "", "", "", 5, "AttackDamage", 30, "Duration", 10, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
50102, "IconSkill50102", "skill_name_50102", "Chance", "FALSE", "FALSE", "FALSE", "FALSE", "Skill_1", "TRUE", "Skill_5010_1", "skill_description_50102", "", "", 12, "Physical", "Source", "Target", "Multi", "Damage", 4000, "Range", 3, "Angle", 70, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "ingame_myth_batman_skill", "TRUE"
50103, "IconSkill50103", "skill_name_50103", "Cooltime", "TRUE", "FALSE", "FALSE", "FALSE", "Skill_3", "TRUE", "Skill_5010_2", "skill_description_50103", 60, "", "", "Physical", "Source", "Target", "Multi", "Damage", 7000, "Range", 3, "Angle", 70, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "TRUE"
50111, "IconSkill50111", "skill_name_50111", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_5011_Ability", "skill_description_50111", "", "", "", "Physical", "", "", "", "Damage", 3000, "Duration", "0.75", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
50112, "IconSkill51092", "skill_name_50112", "Attack", "FALSE", "TRUE", "FALSE", "FALSE", "Default", "TRUE", "Skill_5011_Attack", "skill_description_50112", "", "", "", "Physical", "", "", "", "Damage", 100, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
50113, "IconSkill50113", "skill_name_50113", "Initialize", "FALSE", "FALSE", "TRUE", "FALSE", "Skill_1", "TRUE", "Skill_5011_1", "skill_description_50113", "", "", "", "Physical", "Source", "Target", "Multi", "Damage", 5500, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
50114, "IconSkill50114", "skill_name_50114", "Cooltime", "TRUE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_5011_Active", "skill_description_50114", 90, "", "", "Physical", "Source", "Target", "Multi", "AttackDamage", 500, "AttackSpeed", 200, "Duration", 10, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
50121, "IconSkill50121", "skill_name_50121", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_5012_Ability", "skill_description_50121", "", "", "", "Physical", "", "", "", "", 1, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
50122, "IconSkill50122", "skill_name_50122", "Chance", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_5012_1", "skill_description_50122", "", "", 8, "Physical", "Target", "Target", "Multi", "Damage", 4000, "Range", 2, "Slow", 70, "Duration", 2, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
50123, "IconSkill50123", "skill_name_50123", "Active", "TRUE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_5012_2", "skill_description_50123", "", "", "", "Physical", "", "", "", "", 1, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "ingame_myth_indi_ultimate_map", "FALSE"
50124, "", "", "Attack", "FALSE", "TRUE", "FALSE", "FALSE", "Default", "FALSE", "Skill_5012_Attack", "", "", "", "", "Physical", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
50131, "IconSkill50131", "skill_name_50131", "Attack", "FALSE", "FALSE", "TRUE", "FALSE", "Default", "TRUE", "Skill_5013_Ability", "skill_description_50131", "", "", 5, "Magical", "", "", "", "", 1, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
50132, "IconSkill50132", "skill_name_50132", "Chance", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_5013_1", "skill_description_50132", "", "", 8, "Magical", "Target", "Target", "Single", "", 1, "Damage", 5000, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "ingame_myth_watt_skill_stack", "FALSE"
50133, "IconSkill50133", "skill_name_50133", "Active", "TRUE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_5013_2", "skill_description_50133", "", "", "", "Magical", "", "", "", "", 1, "AttackDamage", 3, "Damage", 2000, "AttackSpeed", 100, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
50134, "IconSkill50133", "skill_name_50134", "Attack", "FALSE", "TRUE", "FALSE", "FALSE", "Default", "TRUE", "Skill_5013_Attack", "skill_description_50134", "", "", "", "Physical", "Target", "Target", "Multi", "", 1, "Damage", 2000, "Range", 1, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
50141, "IconSkill50141", "skill_name_50141", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_5014_Ability", "skill_description_50141", "", "", "", "Physical", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
50142, "IconSkill50142", "skill_name_50142", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_5014_1", "skill_description_50142", "", "", "", "Physical", "", "", "", "AttackDamage", 15, "AttackSpeed", 0, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
50143, "IconSkill50143", "skill_name_50143", "Chance", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_5014_2", "skill_description_50143", "", "", 8, "Physical", "Target", "Target", "Multi", "Damage", 500, "Defense", 7, "Range", "2.5", "Interval", "0.5", "Count", 10, "Duration", 5, "", "", "", "", "", "", "", "", "", "ingame_myth_tar_skill_1", "TRUE"
50144, "IconSkill50144", "skill_name_50144", "Chance", "FALSE", "FALSE", "TRUE", "FALSE", "Default", "TRUE", "Skill_5014_3", "skill_description_50144", "", "", 8, "Physical", "Target", "Target", "Multi", "Damage", 3000, "Range", 2, "AttackDamage", 50, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "ingame_myth_tar_skill_2", "TRUE"
50145, "IconSkill50145", "skill_name_50145", "Active", "TRUE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_5014_4", "skill_description_50145", "", "", "", "Physical", "Target", "Target", "Multi", "Damage", 1000, "Range", "2.8", "Interval", "0.22", "Count", 6, "AttackDamage", 1, "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
51142, "IconSkill50142", "skill_name_50142", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_5114_1", "skill_description_50142", "", "", "", "Physical", "", "", "", "AttackDamage", 15, "AttackSpeed", 0, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
51143, "IconSkill50143", "skill_name_50143", "Chance", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_5114_2", "skill_description_50143", "", "", 10, "Physical", "Target", "Target", "Multi", "Damage", 500, "Defense", 10, "Range", "2.5", "Interval", "0.5", "Count", 14, "Duration", 7, "", "", "", "", "", "", "", "", "", "ingame_myth_tar_skill_1", "TRUE"
51144, "IconSkill50144", "skill_name_50144", "Chance", "FALSE", "FALSE", "TRUE", "FALSE", "Default", "TRUE", "Skill_5114_3", "skill_description_50144", "", "", 10, "Physical", "Target", "Target", "Multi", "Damage", 4000, "Range", 2, "AttackDamage", 50, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "ingame_myth_tar_skill_2", "TRUE"
51145, "IconSkill50145", "skill_name_50145", "Active", "TRUE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_5114_4", "skill_description_50145", "", "", "", "Physical", "Target", "Target", "Multi", "Damage", 1500, "Range", "2.8", "Interval", "0.22", "Count", 6, "AttackDamage", 1, "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
52142, "IconSkill50142", "skill_name_50142", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_5214_1", "skill_description_50142", "", "", "", "Physical", "", "", "", "AttackDamage", 15, "AttackSpeed", 0, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
52143, "IconSkill50143", "skill_name_50143", "Chance", "FALSE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_5214_2", "skill_description_50143", "", "", 12, "Physical", "Target", "Target", "Multi", "Damage", 500, "Defense", 15, "Range", "2.5", "Interval", "0.5", "Count", 20, "Duration", 10, "", "", "", "", "", "", "", "", "", "ingame_myth_tar_skill_1", "TRUE"
52144, "IconSkill50144", "skill_name_50144", "Chance", "FALSE", "FALSE", "TRUE", "FALSE", "Default", "TRUE", "Skill_5214_3", "skill_description_50144", "", "", 12, "Physical", "Target", "Target", "Multi", "Damage", 5000, "Range", 2, "AttackDamage", 50, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "ingame_myth_tar_skill_2", "TRUE"
52145, "IconSkill50145", "skill_name_50145", "Active", "TRUE", "FALSE", "FALSE", "FALSE", "Default", "TRUE", "Skill_5214_4", "skill_description_50145", "", "", "", "Physical", "Target", "Target", "Multi", "Damage", 2500, "Range", "2.8", "Interval", "0.22", "Count", 6, "AttackDamage", 1, "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
50150, "", "", "Attack", "FALSE", "TRUE", "FALSE", "FALSE", "Default", "FALSE", "Skill_5015_Attack", "", "", "", "", "Physical", "Source", "Target", "Single", "Damage", 100, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "ingame_myth_rocketchu_attack", "FALSE"
50151, "IconSkill50151", "skill_name_50151", "Initialize", "FALSE", "FALSE", "FALSE", "FALSE", "Action_1", "TRUE", "Skill_5015_Ability", "skill_description_50151", "", "", "", "Physical", "Source", "Target", "Multi", "Chance", 35, "Damage", 99999, "Range", 4, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "FALSE"
50152, "IconSkill50152", "skill_name_50152", "Chance", "FALSE", "FALSE", "FALSE", "FALSE", "Skill_1", "TRUE", "Skill_5015_1", "skill_description_50152", "", "", 10, "Physical", "Target", "Target", "Single", "Damage", 4000, "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "ingame_myth_rocketchu1_skill_1_attack", "TRUE"
